key,jp,vi
Text/1ab/text,そ、そんなことを言ってはダメですよ！悪を捕らえる役目の者が違法行為を犯せば、即！資格剥奪なんですから！ものすごく苦労して取った資格なのに…,Đ-đừng nói thế! Người nhiệm vụ bắt ác mà phạm pháp là lập tức bị tước tư cách! Tôi khổ sở lắm mới lấy được...
Text/1ac/text,…真面目なんだね。じゃあ、その財布をあたしらが探してあげればいいってこと？,...Kỹ tính nhỉ. Vậy tụi tớ tìm cái ví đó cho cậu là được chứ gì?
Text/1ad/text,は、はい！そうなんです！免許が入った財布さえあれば！,V.. vâng! Đúng vậy! Chỉ cần cái ví có bằng lái thôi là!
Text/1ae/text,でも、一体その財布をどこで探せばいいのでしょうか…電車の中にあるとは思えませんし、外にも出られませんし…,"Nhưng tìm cái ví đó ở đâu bây giờ... chắc không trong tàu, mà cũng ra ngoài được đâu..."
Text/1af/text,うん。ここに来て結構経つけど、財布なんて見なかったよ。,Ừ. Từ lúc ở đây chưa thấy cái ví nào.
Text/1b0/text,そ、そんな……じゃあ…どどどうすればいいんですか！,S-sao lại thế chứ...! Gi-giờ bọn mình phải làm sao đây ạ!
Text/1b1/text,それをあたしたちに聞かれても、……まあ、そんな心配しないでよ…一応探索のついでに探してあげるからさ…,Đừng hỏi tụi này... mà đừng lo quá. Tụi này thám hiểm tiện thể tìm cho.
Text/1b2/text,あ、あれは本当に大事なものなんですよ…！リモコン探すみたいな軽い気持ちで考えちゃダメです！皆さんを無事に導くためにも、絶対に必要なんですから…！,C-cái đó quan trọng lắm! Đừng coi như tìm remote! Để dẫn mọi người an toàn thì nhất định cần nó!
Text/1b3/text,わ、わたしはこれからもトラックに垂れ下がった変なヒモみたいに、この電車にしがみついていなければいけないのでしょうか…,T-tôi cứ phải bám tàu mãi như dây thừng kỳ quái sau xe tải thế này sao..?
Text/1b4/text,うう…到着する前までは確かに持っていたはずなのに…あんな大事なものを失くすなんて…天使失格です…,Ư ư... rõ ràng trước khi đến vẫn còn... lại mất thứ quan trọng thế này... thiên sứ thất cách rồi!
Choice/1b5/text,待って…,Khoan đã...
Choice/1b6/text,失くしたって？,Cậu nói cậu đã mất nó?
Choice/1b7/text,だったら見つける方法があるかもしれない…,Vậy thì có thể sẽ có cách để tìm ra nó...
Text/1b8/text,え？マジで？,Hả? Thật sự?
Choice/1b9/text,ちょうど僕も失くしたものがあるんだ。,Trùng hợp là tôi cũng có đồ bị mất.
Text/1ba/text,…失くしたもの？,...Đồ bị mất?
Text/1bb/text,あ、そうですね。あなたのスマホ。,"A, phải rồi. Điện thoại của anh."
Text/1bc/text,んん…？スマホがなんで？,Ừm? Còn điện thoại thì sao?
Choice/1bd/text,駅で落とし物を拾ったら普通…,Ở ga thì đồ thất lạc thường...
Text/1be/text,うーん……本人探すのも難しいし、時間もないから、落とし物センターに預けるんじゃない？,"Ừm... Khó tìm được chủ nhân mà cũng hong có thời gian nữa, hay là bọn mình mang gửi ở phòng báo mất đồ nhỉ?"
Text/1bf/text,この電車では、その役割を執事さんが担っています。,"Trên tàu này, quản gia làm việc đó."
Text/1c0/text,執事？チケットで色々交換してくれるあいつ？,Quản gia? Anh chàng ở chiếc xe đầu tiên đổi vé?
Text/1c1/text,はい。執事さんが言っていたこと、覚えていますか？,Vâng. Nhớ quản gia đã nói gì không?
Choice/1c2/text,たしか…落とし物を集めて…,Hình như... thu thập đồ thất lạc...
Choice/1c3/text,交換ショップの景品として並べてるって…,Bày làm hàng trong tiệm trao đổi...
Text/1c4/text,そうです…役に立ちそうな物は様々な能力を付与して販売する…そうじゃない物の処分方法は分かりませんが…それでも、一度は執事さんの手に渡っているはずです…,Đúng rồi... đồ có ích thì rót năng lực vào bán... đồ vô dụng thì không rõ xử lý sao... nhưng chắc đã qua tay quản gia hồi nào.
Text/1c5/text,そして…『気味の悪い財布』とスマホを拾ったって…言ってましたよね…？それで、魔力の付与に失敗したとも…,Và... quản gia nói nhặt được 'cái ví hình thù kỳ quái' và điện thoại... nhưng rót ma lực thất bại.
Text/1c6/text,その時はさして重要な事だと思いませんでしたが、もしかしたら…それ、パズズさんの財布の事かもしれません…,"Lúc đó không nghĩ quan trọng, nhưng... biết đâu đó là ví của Pazuzu..."
Choice/1c7/text,たしかに。でも交換ショップには並んでなかったよね。,Phải. Nhưng nó không được trưng bày ở Exchange Shop.
Text/1c8/text,そうそう！交換ショップのラインナップには財布もスマホもなかったもんね。集めたは良いけど、結局どっかに捨てたのかな？だとしたら、どうやって探す？,À! Đúng rồi! Hồi xem tiệm hong thấy ví hay điện thoại. Gom lại vứt đâu đó hả? Vậy tìm thế nào?
Choice/1c9/text,まず、執事に役に立たないと判断した物の処分方法を聞き出して…,"Trước hết, hỏi quản gia cách xử lý đồ vô dụng..."
Choice/1ca/text,舞が僕のスマホに電話をかけてみれば…,thử gọi vào điện thoại của tôi...
Text/1cb/text,…ん～？……ああ！わかった！,Hửm?...Ồ! Tôi hiểu rồi!
Text/1cc/text,着信音が鳴ってる場所を探せば、スマホと一緒に捨てられた財布も見つけられるかもってことね。失くした時期は同じくらいだし！,Tìm chỗ chuông reo là ra cái ví bị vứt cùng điện thoại! Lỡ mất cũng cùng lúc mà!
Text/1cd/text,はい、その通りです…不用品を窓の外に捨てたり、個別に処分したりしていなければ…もしかしたら一緒に見つけられるかもしれません…,"Vâng, đúng vậy... nếu không vứt ngoài cửa sổ hay xử lý riêng... may ra tìm được cả thể."
Text/1ce/text,そそそ、そうですね！ほ、本当によかったです！,R-r-đúng rồi! Tôi-tôi thấy nhẹ nhõm quá!
Text/1cf/text,い、今はその方法しかなさそうです！皆さんを信じますから！わ、わたしも…そろそろ腕に力が入らなくて…！もう限界なんです！,B.. bây giờ chỉ còn cách đó thôi! Tôi tin mọi người! T.. tôi hết sức trong tay rồi...! Đến giới hạn mất!
Text/1d0/text,え？ここで落ちてもまた戻って来れんの？,Hả? Rơi đây rồi vẫn quay lại được á?
Text/1d1/text,心配しないでください！財布が電車の中にあるなら…い、位置がわかりますから！,Đ-đừng lo! Nếu ví trong tàu thì tôi cảm nhận được vị trí!
Text/1d2/text,今みたいにわたしがいる車両を探してください！皆さんが来てくださるまで、な、何度でもしがみついて待ってますから…！,"Hãy tìm toa tôi đang ở! Mọi người đến thì tôi bám chờ, bao nhiêu lần cũng được!"
Text/1d3/text,ちょっと、かわいそうですね…,Hơi tội nghiệp nhỉ...
Choice/1d4/text,でも、他に方法もないし…,Nhưng chúng ta không có lựa chọn nào khác...
Text/1d5/text,早く見つけてあげないとね…落とし物…,Phải tìm nhanh mới được... đồ thất lạc...
Text/1d6/text,み、皆さん！わたし、もう腕の感覚がないんです…！どうかまた会いに来てください！,M-mọi người! Tay tôi mất cảm giác rồi..! Xin hãy lại tìm tôi nhé!
Text/1d7/text,わ、わたしはもう…限界ですから！また来ますから…よ、よろしくお願いします…！,T-tôi tới giới hạn rồi! Lần sau lại đến... nhờ mọi người nhé..!
Text/1d8/text,誰の許可を得て『また来る』なんて言ってるんだ？,Ai cho phép bảo 'lại đến' hả?
Choice/1d9/text,…コニアル！,...Konial!
Text/1da/text,やあ諸君。お揃いで何をしているんだ？,Này mấy ngươi. Tụ họp làm gì thế?
Text/1db/text,ティータイムを楽しんでたら、我の電車が悲鳴を上げてね。大層ムズ痒そうに喚くから確認に来てみれば……随分大きなノミがくっついてたようだな？,Đang uống trà thì tàu của ta ré lên. Bảo ngứa ngáy không chịu nổi nên ra xem thử... thì ra có con bọ chét to tướng bám vào đây nhỉ?
Text/1dc/text,…！あ、あんた…ついに見つけたわ！,...! Ng.. ngươi... cuối cùng cũng tìm ra ngươi rồi!
Text/1dd/text,ん～？誰だったかな？初めて見る顔だが。,Ừm? Ngươi là ai? Ta chưa thấy mặt mũi ngươi bao giờ nhỉ.
Text/1de/text,…あんたは覚えて…ないかもしれないけど、わたしはよく知ってる…,...Ngươi có thể không nhớ... nhưng ta biết rõ.
Text/1df/text,…ラマシュトゥ…！,...Lamashtu!
Choice/1e0/text,ラマシュトゥ？,Lamashtu?
Text/1e1/text,…,...
Text/1e2/text,きひっ！何だ？その田舎臭い名前は。知らんな。,Kihi! Cái gì? Cái tên nhà quê đó á. Ta không biết.
Text/1e3/text,…知り合いなん？,...Hai người biết nhau á?
Text/1e4/text,我がこんな白ノミと知り合いなわけがないだろう。我はただ45番電車の主として、電車が苦しんでいるのを見過ごすわけにはいかないから、確認に来ただけさ。,"Sao ta có thể quen cái con bọ chét trắng này được. Chỉ là với tư cách chủ nhân tàu số 45, không thể bỏ qua khi tàu ta đang đau đớn nên ra xem thôi."
Text/1e5/text,ノミは払い落としても、しつこく何度もくっついてくるからな。確実に…潰して殺さなければ。,Bọ chét hất ra rồi cũng bám lại. Phải nghiền nát cho kỹ mới được.
Text/1e6/text,…？な…何を。,...? Là.. làm gì?
Text/1e7/text,もう心配いらないぞ、我が愛しい電車。二度とくっつく気が起きないように、仕返ししてやれ！,"Đừng lo, tàu yêu quý của ta. Cứ trả đòn cho nó đừng hòng bám lại lần nữa!"
Text/1e8/text,…！きゃあっ！,...! Á!
Text/1e9/text,…！何ですか、あれは…一体…,...! Cái gì thế kia... rốt cuộc...
Text/1ea/text,見ての通りさ、電車を苦しめた元凶に復讐したいそうだ、45番電車自らな。我はそれに少し手を貸してやっただけ。,"Như mấy ngươi thấy đấy, tàu số 45 muốn trả thù kẻ đã hành hạ nó. Ta chỉ giúp một tay dạy dỗ nó thôi."
Text/1eb/text,くぅっ…！な…何ですかこれ！手足が縛られて…は、離してください！,Khự...! Cá.. cái gì đây! Chân tay bị trói... b.. buông ra!
Text/1ec/text,電車もだいぶ怒ってるみたいだぞ。見逃す気はなさそうだ。,Tàu cũng giận dữ lắm đấy. Có vẻ không định tha đâu.
Text/1ed/text,きゃあっ、この大きいのは何…何ですか！,Kyaah! Cái-vật lớn này là gì vậy?!
Text/1984/text,"#그녀의 말과는 달리, 파주주의 시선은 그 촉수에게서 한치도 떨어지지 않았다.","#Trái với lời nói, mắt Pazuzu không rời cái xúc tu đó dù một ly."
Text/1985/text,"#천사의 규율로 엄격하게 지켜온 금욕이, 지금 한순간에 깨질 수 있음을 느낀 그녀가 느끼는 감정은..",#Cảm giác mà cô ấy cảm nhận được khi biết rằng sự kiêng dục nghiêm ngặt giữ theo quy luật thiên thần có thể tan vỡ trong khoảnh khắc...
Text/1986/text,"#거부감이 아닌, 묘한 흥분감으로 차오르고 있었다는 것을, 파주주는 필사적으로 숨기고 있었다.","#Không phải ghê tởm, mà là một sự hưng phấn kỳ lạ đang dâng trào - Pazuzu đang liều mạng che giấu điều đó."
Text/1ee/text,すぐに分かるさ。きひひ。,Sẽ biết ngay thôi. Kihihi.
Text/1ef/text,ちょ…待ってください…こ、来ないでください！そんな大きいの…！,C.. chờ đã... đ.. đừng tới đây! To quá...!
Text/1987/text,#커다란 자지의 모습을 한 촉수 하나가 파주주의 바로 밑에서 꿈틀거린다.,#Một xúc tu mang hình dạng con cặc to lớn đang quặn dưới ngay Pazuzu.
Text/1988/text,これから何をされるのだろう——あらゆる妄想が彼女の頭の中で再生されていく。,Những gì sắp xảy ra với cô—tất cả những hình ảnh tưởng tượng đang diễn ra trong tâm trí cô.
Text/1989/text,想像するだけで彼女の陰唇は膨らみ上がり、やがてぐちゅりと愛液が溢れ出した。,"Chỉ tưởng tượng thôi mà môi âm hộ cô ấy đã phồng lên, rồi ái dịch trào ra."
Text/198a/text,"#그녀의 몸을 묶고 있을 뿐인 촉수들에게, 오히려 파주주는 묘한 기대감을 가지며..","#Với những xúc tu chỉ đang trói cơ thể cô ấy, Pazuzu lại có một cảm giác mong đợi kỳ lạ..."
Text/198b/text,"#그것들을 받아들일 준비마저 마친 듯, 애액은 멈출 줄을 모르고 새어 나온다.","#Như đã sẵn sàng đón nhận chúng, ái dịch rỉ ra không ngừng."
Text/198c/text,"#보지에서 질척하게 흘러나오는 애액이 허벅지를 타고 흐르자, 촉수는 그 액체의 자국을 거슬러 활짝 벌려진 보지의 입구에 닿는다.","#Khi ái dịch chảy dính xuống đùi từ bím, xúc tu lần theo dấu chất lỏng và chạm vào cửa bím đang mở rộng."
Text/1f0/text,そ…そんな！あぁんっ！やっ！やめ…てくださいっ！あぅっ！,Đ-đó là...! Aaahh! À! Xin hãy dừng lại! Hự! Ư!
Text/1f1/text,大きすぎます…！あっ…あ…！わたし…もう…そ、そんなに…かき回されたら…！,To quá...! Á... a...! Tôi... sắp... cứ khuấy thế này...!
Text/1f2/text,あぁっ！あぅっ…,Á! A ư...
Text/198d/text,…,...
Text/198e/text,（…？確かに捕まえておけとだけ命じたはずなのに。…この触手たちは対象の欲求に反応するから……つまり、それは…？）,(...? Rõ ràng ta chỉ ra lệnh giữ chặt cô ta thôi. ...Mấy xúc tu này phản ứng theo dục vọng của mục tiêu... nghĩa là...?)
Text/198f/text,#코니알은 순간 미간을 찌푸렸다. 그녀의 명령은 단지 파주주를 묶어두라는 것뿐이었다.,#Konial cau mày trong giây lát. Lệnh của cô ta chỉ là trói Pazuzu lại.
Text/1990/text,#자율적인 행동이 허용되는 순간은 단 한가지.. 대상이 티켓을 생성해내기 위한 기본 요건인 기분 좋은 쾌락을 원하는 경우..,"#Tình huống duy nhất được phép hành động tự chủ... là khi mục tiêu ham muốn khoái lạc, điều kiện cơ bản để tạo ra vé."
Text/1991/text,#이내 코니알은 미소를 짓는다.,#Konial mỉm cười.
Text/1f3/text,きひひッ…随分手荒じゃないか？,Kihihi... Cũng dữ dội nhỉ?
Text/1f4/text,ん…？ああ、そう。もっと激しくしても構わないぞ。気が済むまで突いてやるがいい？,"Hử...? A, ra vậy. Cứ mạnh hơn nữa cũng được. Đâm cho tới khi hả giận đi?"
Text/1f5/text,あぁっ…くっ…ラ…ラマシュトゥ…！,Á... hừ... La... Lamashtu...!
Text/1992/text,パズズの全身に巻き付いた触手は、実のところ彼女に残った力でも十分に振り払えるほど緩く締め付けているだけだったが…,"Xúc tu quấn quanh người Pazuzu thực ra chỉ siết nhẹ, đủ để cô ấy có thể hất ra bằng chút sức lực còn lại, nhưng..."
Text/1993/text,彼女が最終的に隠しきれなかったチンポへの欲求が、触手たちをパズズがより気持ちの良い快楽へと導くよう動かしていた。,Ham muốn con cặc mà cô không thể che giấu cuối cùng đang thúc đẩy những xúc tu dẫn Pazuzu tới khoái cảm lớn hơn.
Text/1f6/text,ぐぅうっ…こ、こんな…必ず…後悔…あっ…後悔しますよ…っ！あんっ！…わたしは…必ず…また追いかけてきますから…ぅあぁっ…,Kh.. cái này... nhất định ngươi sẽ hối.. á.. hối hận...! Ưm! ...Ta.. nhất định... sẽ lại lùng theo ngươi... a ư...
Text/1f7/text,何だって？ピーピー泣いてちゃよく分からんな。そろそろ仕上げといくか？,Cái gì? Khóc nháo lên nghe không rõ. Tính chốt hạ luôn nhỉ?
Text/1f8/text,な…何ですって…あぅっ！きゃああっ！,C-cậu đã làm gì thế... Á! Kyaaa!
Text/1f9/text,は…激しすぎ…！裂けちゃ…あ…あっ…！…んあぁあっ…,Há.. mạnh quá..! Rách mất.. á..! ư a...!
Text/1fa/text,きゃぁぁっ！！,Á A A!!
Text/1fb/text,ふふ…めちゃくちゃだな。,Hừ hừ... tan tành nhỉ.
Text/1fc/text,はぁ…はぁ…あ…,Há... há... a...
Text/1fd/text,こ…これは一体…,Cái-cái gì... đó là...
Text/1fe/text,ラマシュトゥ…あなたは…こ…こんなことまで…,Lamashtu... ngươi... đế.. đến mức này sao...
Text/1ff/text,…何だって？,...Vừa nói gì cơ?
Text/200/text,……？,...?
Text/201/text,まだ気が収まらないか？きひひ！いいぞ。いくらでも。,Chưa hả giận à? Kihihi! Được thôi. Bao nhiêu cũng được.
Text/1994/text,#그 순간 코니알은 확신하고 있었다. 믿기진 않지만..,"#Lúc đó Konial đã chắc chắn. Khó tin, nhưng..."
Text/1995/text,"#이 녀석, 즐기고 있어.",#Con nhỏ này... đang tận hưởng.
Text/202/text,そ…それってどういう…！？,Ý.. ý ngươi là sao.. ư?!
Text/203/text,まだ心が折れてないみたいだからな。徹底的に壊してしまえ。,Có vẻ chưa gãy đâu. Hãy đập nát hoàn toàn đi.
Text/204/text,くひぅっ！？…や…やめて！あぁっ…んぁああん…っ…,Khự?!... T.. thôi đi! Á... ư a a a...
Text/1996/text,#라마슈투의 명령에 촉수가 다시 꿈틀거리는 것을 느끼며..,#Cảm nhận xúc tu lại quặn lên theo lệnh của Lamashtu...
Text/1997/text,#파주주는 이미 그것을 거부할 생각이 조금도 남아 있지 않다는 것을 깨달았다.,#Pazuzu nhận ra mình chẳng còn chút ý định từ chối chúng nữa.
Text/1998/text,"#한 번 알아버린 그 감각이, 오히려 다음을 갈망하게 만들고 있었다.","#Cảm giác đã một lần biết, ngược lại đang khiến cô ấy khao khát lần tiếp theo."
Text/205/text,ぅぁ…あぁっ…！っ…うぅ…！…ラ…ラマシュ…,Ư.. á! ...hự..! ...La... Lamashtu...
Text/206/text,…消えちゃいました…,...Biến mất rồi...
Choice/207/text,…,...
Text/208/text,よし、駆除完了だ！全く油断も隙もない。車掌として電車の管理は徹底しなければな。目を離すとすぐに害虫が湧いてくる。,"Tốt, xử lý sâu bọ xong! Lơ là một tí là không được. Với tư cách trưởng tàu, phải quản lý tàu triệt để mới được. Sơ hở một tí là sâu bọ kéo tới ngay."
Text/209/text,それでは、我はティータイムの続きに戻るとしよう。お前たちもやることがあるだろう？せいぜいチケット稼ぎに精を出すことだ。ではな！,"Tốt, xử lý sâu bọ xong rồi! Lơ là một tí là không được. Với tư cách trưởng tàu, không quản lý triệt để thì bọn chúng cứ kéo tới."
Text/20a/text,行ってしまいましたね…,Đi mất rồi...
Text/20b/text,どうしよ？パズズ…あんなにやられちゃってたけど…また会えるかな？,Giờ tính sao? Pazuzu... bị đánh tan tác thế kia... còn gặp lại được hong nhỉ?
Choice/20c/text,とはいえ、今は他に選べる方法もないからな…,Nhưng giờ cũng đâu còn lựa chọn khác...
Text/20d/text,そうですね。私たちがやるべきことをやりましょう。,Phải rồi. Làm việc mình cần làm thôi.
Text/20e/text,そうだよね…仕方ないか。,Ừ nhỉ... đành chịu thôi.
Choice/20f/text,戻ったら、もう少し具体的に僕のスマホを探す計画を立てよう。,"Khi chúng ta quay lại, hãy cùng nhau lập một kế hoạch cụ thể để tìm điện thoại của tôi."
Text/210/text,そうですね。怪しまれないように探索も兼ねながら探すのがよさそうです。パズズさんのことは心配ですけど…あんなに窓枠にしがみついていられる方ですから、きっと大丈夫ですよ。,Phải rồi. Vừa thám hiểm vừa tìm thì khỏi bị nghi ngờ. Tuy lo cho Pazuzu... nhưng người bám cửa sổ ghê vậy chắc không sao đâu.
Choice/211/text,うん。彼女にはまた会わなきゃ。,Ừ. Nhất định phải gặp lại cô ấy.
Choice/212/text,脱出の望みが…今はこれしかないんだ。,Muốn thoát thì giờ chỉ còn cách đó thôi.
Text/213/text,お疲れ様でございます。探索はお楽しみいただけましたでしょうか？,Quý vị đã về. Chuyến thám hiểm có vui không ạ?
Text/214/text,ちょうど新たな景品を入荷いたしました。ご覧になりますか？,Vừa có hàng mới về. Quý vị xem qua không ạ?
Choice/215/text,新しく入った品物を見せてくれ。,Cho tôi xem hàng mới.
Text/216/text,…私たちが欲しいものはありませんね。,...Không có thứ tụi em cần.
Text/217/text,だよねー…ねえ、もしかして品物の中にスマホ…,"Ừ ừ nhỉ... này, nhân tiện, quản gia có điện thoại..."
Text/218/text,ちょっと待ってください舞さん！その前に…,Khoan đã cô Mai! Trước đó...
Text/219/text,ん？どしたの？,Hử? Sao thế~?
Text/21a/text,執事さんはコニアルさんの部下…のようなものですよね？だとしたら、お財布とかスマホの話をしていいものか…,"Quản gia là cấp dưới của Konial... phải không ạ? Nếu vậy, nhắc đến ví hay điện thoại có ổn không..."
Choice/21b/text,…僕達が執事に話したことが、コニアルの耳に入るかもしれない。,Lỡ lọt vào tai Konial thì nguy.
Text/21c/text,そっか…先を越されたらパズズと二度と会えなくなるかもしれないもんね。,Vậy hả... bị biết trước thì mất cơ hội đưa Pazuzu vào.
Text/21d/text,せめてお財布とスマホの在り処を、もう少し絞り込めればいいのですけど…,Giá mà thu hẹp được phạm vi tìm ví và điện thoại thêm chút nữa nhỉ...
Choice/21e/text,直接聞くのは避けた方がいいと思う。,Nên tránh hỏi thẳng thì hơn.
Choice/21f/text,執事の興味がありそうな話題を通じて、間接的に情報を引き出そう。,Khai thác gián tiếp qua chủ đề quản gia quan tâm.
Text/220/text,興味があること…物を集めたり、それに魔力を注入したりすること…ですね？,Sở thích của quản gia... sưu tầm đồ vật và rót ma lực vào đó đúng không ạ?
Text/221/text,コニアルに集めた物を何度も燃やされてるのに、やめられない性質だって言ってたよね。,Hắn bảo dù bị Konial đốt đồ nhiều lần vẫn hong bỏ được bản tính mà.
Text/222/text,それと、魔力注入の成功率は低いとか…,Và tỉ lệ rót ma lực thành công thấp...
Choice/223/text,…そうか。それなら、注入に失敗した物は…,...Vậy ra. Đồ rót thất bại...
Text/224/text,一度集めたものは、どうしても捨てたくない性格のようですし…この電車のどこかに、失敗作も集めて溜めてるんじゃないでしょうか…？,Tính hắn tiếc đồ khó vứt... chắc đồ thất bại cũng chất đống ở đâu đó trên tàu này chứ nhỉ...?
Text/225/text,さっき景品を確認した時も、やっぱりスマホとお財布はありませんでしたから。きっと…そこにあるはずです。,Lúc xem hàng cũng không thấy điện thoại và ví. Chắc chắn... ở đó.
Text/226/text,でもさ…電車の中にあるんなら、コニアルはもう知ってるんじゃない？,"Nhưng... nếu nó ở trong tàu, chẳng phải Konial đã biết về nó rồi sao?"
Text/227/text,執事さんのガラクタ集めを、コニアルさんは快く思っていないんです。執事さんもそれを分かっていますし。,Cô Konial vốn không thích việc quản gia sưu tập đồ ve chai. Bản thân quản gia cũng biết rõ điều đó.
Text/228/text,おそらく…執事さんはコニアルさんにも気づかれないような場所に、こっそり集めている可能性が高いです。,Chắc quản gia giấu ở chỗ Konial không biết mà âm thầm thu gom.
Text/229/text,なるほど！じゃあ、執事から何とかその場所を聞き出せばいいってことじゃん？,Ra vậy! Hỏi quản gia là ra chỗ đó chứ gì?
Choice/22a/text,…僕に考えがある。,...Có cách.
Text/22b/text,皆様、何かお話をされていたようですが…,Chúc quý vị một ngày tốt lành. Quý vị vừa bàn nhau chuyện gì đó ạ?
Text/22c/text,あ、チケットで交換する景品のことを相談していたんです。良い品物が多いですから。,"A, tụi em đang bàn về đồ đổi bằng vé. Toàn đồ tốt mà quản gia."
Text/22d/text,ありがとうございます。ご満足いただけたようで何よりでございます。,Cảm ơn quý vị. Quý vị hài lòng là tốt rồi.
Text/22e/text,ねえねえ。このラインナップ以外に他の品物ってないの？,Này này. Ngoài mấy món này còn đồ khác hong?
Text/22f/text,他の…とおっしゃいますと？,Các loại khác... là ý quý vị ra sao ạ?
Text/230/text,例えば…どこにでも移動できるドアとか～…時間を止めるタイマーとか～…やっぱそこまでは無理っぽい？,Ví dụ... cửa đi khắp nơi... đồng hồ ngừng thời gian... tới mức đó chắc hong nổi ha?
Text/231/text,…そのような物は、わたくしの能力では…今のところは難しいかと存じます。,...Mấy thứ đó với năng lực của kẻ hèn này... hiện tại thì khó lòng ạ.
Text/232/text,今のところ…？絶対不可能ってわけじゃないの？,Hiện tại? Vậy hong phải hoàn toàn hong thể?
Text/233/text,稀にではございますが、魔力を注入し続けていれば、一つくらいはそのような性能のものもいずれは…,"Tuy hiếm, nhưng cứ rót ma lực tiếp thì một món kiểu đó cũng sẽ... một ngày nào đó..."
Text/234/text,うーん、そっかー…正直に言うとさ、いまんとこ、この中で欲しいって思える物が無いんよね。,"Hmm... tôi hiểu rồi... Thành thật mà nói, hong có gì ở đây thực sự thu hút tôi cả."
Text/235/text,さ…左様でございますか…,V-vậy sao ạ...
Text/236/text,性能の割には値段…チケットの必要数も多いしさ。やっぱ元がガラクタだから、ある程度は仕方ないのかなー、なんて？あははっ！,"Giá thì mắc, mà hiệu ứng thì yếu. Chắc tại toàn đồ linh tinh nên chịu thôi nhỉ? Haha~!"
Text/237/text,(…こう言えばいいって言ってたよね？),(...Nói thế này là đúng ha?)
Text/238/text,……,...
Text/239/text,皆様はご存じ無いかもしれませんが…これらの景品をお出しするまでに、裏では数え切れないほどの失敗作が存在するのです。,"Quý vị chưa biết chứ... đằng sau mấy món hàng bày ra, có vô số đồ thất bại ạ."
Text/23a/text,ご満足いただけないのであれば申し訳ございませんが…こちらの景品はその中から特に厳選されたものでございまして、十分にその役目を果たし得るものと思うのですが…,"Xin lỗi vì chưa làm quý vị hài lòng... nhưng những món này là hàng chọn lọc, kẻ hèn này tin sẽ làm tốt vai trò của mình..."
Text/23b/text,魔力の注入は…成功確率がかなり低いと、以前おっしゃっていましたよね？,Rót ma lực... tỉ lệ thành công khá thấp đúng không ạ?
Text/23c/text,わたくしは、コニアル様ほど魔力の扱いに精通しておりませんので。,Kẻ hèn này không thông thạo ma lực bằng Konial đại nhân ạ.
Text/23d/text,それでしたら…景品にならなかった…失敗作はどうしてるんですか？,Vậy... mấy món không thành hàng... đồ thất bại quản gia xử lý sao ạ?
Text/23e/text,それは…すべて廃棄いたしました。,Cái đó... tất cả đã vứt bỏ hết ạ.
Text/23f/text,本当ですか？,Thật không ạ?
Text/240/text,はい…ガラクタの山がもう一度目に入ったら、わたくしごと燃やしてしまうとコニアル様が仰られましたので…,Vâng... Konial đại nhân bảo nếu còn thấy đống linh tinh lần nữa sẽ thiêu cả kẻ hèn này luôn ạ...
Text/241/text,そうですか…残念ですね。一度見てみたかったんです。執事さんの努力の結晶を…,Vậy à... tiếc quá. Em từng muốn xem một lần. Thành quả lao động của quản gia...
Text/242/text,…,...
Text/243/text,きっと執事さんが集めてきたものは、コニアルさんにはゴミにしか見えないのでしょうけれど。私たち人間には、ちゃんと伝わるんですよ。,Chắc đồ quản gia gom chỉ là rác với Konial thôi. Nhưng với con ngọn tụi em... ý nghĩa thì thấy rõ lắm.
Text/244/text,一度の成功のために重ねてきた努力の過程……それを確かめたかったんです。,Bao nhiêu công sức cho một lần thành công... em muốn xem cái đó.
Text/245/text,ですが…それは。,Nhưng... đó là...
Text/246/text,どんな失敗作でも愛着が湧くものですよね。特に執事さんにとっては。,Bao nhiêu thất bại cũng nảy sinh tình cảm. Nhất là với quản gia.
Text/247/text,……廃棄してないんですよね？今までのそれを。,...Không vứt đi chứ ạ? Đống đó.
Text/248/text,……それは…なぜそのようなものに、あなたがたが関心をお持ちになるのか、理解しかねます。何の役にも立たないものですのに…,...Cái đó... em không hiểu sao quý vị lại quan tâm đến mấy thứ đó. Toàn đồ vô dụng thôi mà...
Choice/249/text,確かめてみたいんだ。,Tôi muốn xem thử.
Choice/24a/text,執事のコレクションを。,Bộ sưu tập của quản gia.
Text/24b/text,…！,...!
Text/24c/text,コレクション…,Bộ sưu tập...
Text/24d/text,(…効いてるっぽくない？),(...Có vẻ trúng á?)
Text/24e/text,…,...
Text/24f/text,…確かに、それらはこの電車のどこかにございます。,"...Vâng, chúng ở đâu đó trên tàu này thật ạ."
Text/250/text,やっぱり！,Quả nhiên~!
Text/251/text,ですが…やはり、お教えすることはできません。わたくしの……『コレクション』が車両ひとつを埋め尽くしているとコニアル様に知られたら…！,Nhưng... em vẫn không thể nói được ạ. Nếu Konial đại nhân biết 'bộ sưu tập' của em chiếm cả một toa...
Text/252/text,今度こそ間違いなく火刑にされてしまいますから。わたくしも…それらも一緒に…,Lần này nhất định em sẽ bị thiêu luôn. Cả em và đống đó...
Text/253/text,それはご心配なさらないでください。私たちも執事さんのコレクションが燃やされる事は望んでいませんから。,Xin đừng lo. Tụi em cũng không muốn bộ sưu tập của quản gia bị thiêu đâu ạ.
