key,en,cn,jp,ko,zh,情緒,vi
SCENE_REINA_DOGGY_WINDOW_CUM_02,A-are you going to cum...? Yes... deep inside me... cum lots...!,你、你快射了吗……？ ……好的……请射在我里面……射好多……！,しゃ、射精しそうなんですか…？…はい…私の中に…たっぷりと…！,사.. 사정할 거 같으신가요..? 네.. 제 안에 가득..!,你、你快射了嗎……？……好的……請射在我裡面……射好多……！,絶頂,A... anh sắp bắn rồi ạ...? ...Vâng... bắn thật nhiều... vào trong em đi...!
SCENE_REINA_COWGIRL_AFTER_01,Ah... hah... hah...,啊……哈啊……哈啊……,あっ…はぁ…はぁっ…,헤헥.. 헤엣..,啊……哈啊……哈啊……,余韻,Á... hà... hà...
SCENE_REINA_COWGIRL_AFTER_03,Hoo... hah... nnuh...,呼……哈啊……嗯呜……,ふぅ…はぁ…うぅん…,후우.. 하.. 으으응..,呼……哈啊……嗯嗚……,余韻,Phù... hà... ư...
SCENE_REINA_DOGGY_WINDOW_CUM_01,Hah... a-at this rate... I'm going to...!,哈啊……再、再这样下去……我会……！,はあっ…こ、このままだと…私…！,하앗.. 이.. 이대로면 저는..!,哈啊……再、再這樣下去……我會……！,絶頂,Hà... c-cứ đà này thì... em mất...!
SCENE_REINA_COWGIRL_AFTER_02,Uuh... hah... aaah...,呜呜……哈啊……啊啊……,うぅっ…はぁ…あぁっ…,으읏.. 헥.. 헤엣..,嗚嗚……哈啊……啊啊……,余韻,Ư... hà... á...
SCENE_REINA_MISSIONARY_PANTIES_CUM_02,Aaah...! Yes... so much... come all the way...!,啊啊……！对……好多……全部射出来……！,ああっ…！はい…たくさん…！全部出してください…！,아앗..! 네.. 잔뜩..! 남김없이 싸 주세요..!,啊啊……！對……好多……全部射出來……！,絶頂,Á...! Vâng... thật nhiều vào...! Hãy bắn hết vào trong em đi...!
SCENE_REINA_MISSIONARY_PANTIES_CUM_01,I-I'm cumming...! Fill my womb... with lots of cum...! Nnnh...!,我、我要去了……！请射满……我的子宫里面……！嗯嗯……！,イ、イっちゃいます…！子宮の中に…いっぱい…出してください…！んんっ…！,가.. 가버려요..! 자궁 안에.. 가득.. 싸주세요..! 으응!,我、我要去了……！請射滿……我的子宮裡面……！嗯嗯……！,絶頂,E-em ra mất thôi...! Vào sâu trong tử cung em... bắn thật nhiều đi anh...! Ưm...!
SCENE_MAI_AHEN_FELLATIO_2,Nnmm... kiss...,嗯唔……啾……,んむ…ちゅ…,우물.. 츄..,嗯唔……啾……,舐める,Ưm... chụt...
SCENE_MAI_AHEN_FELLATIO_3,Nmbh...!,嗯噗……！,んぶっ…！,우웁..!,嗯噗……！,フェラ,Ực...!
SCENE_MAI_AHEN_FELLATIO_1,Slurp...,啾噜……,ちゅるっ…,츄릅..,啾嚕……,喘ぎ,*Chùn chụt*...
SCENE_REINA_MISSIONARY_KISS_CUM_02,Mmm...! Nnmm...! Please... inside... fill me up inside...!,啾……！嗯唔……！拜托……里面……射满我的里面……！,ちゅぅ…！んむぅ…っ！お願いです…中に…中にいっぱい…っ！,츄웁..! 으읍..!! 부탁이니.. 안에.. 안에 가득..!!,啾……！嗯唔……！拜託……裡面……射滿我的裡面……！,キス+絶頂,Hớp...! Ưm...! Em xin anh... bên trong... bắn ngập ngụa bên trong đi...!
SCENE_KONIAL_AHEN_FELLATIO_4,Gulp...,吞……,ごくっ…,꿀꺽..,吞……,フェラ,Nuốt...
SCENE_REINA_MISSIONARY_KISS_CUM_01,Aaah...! Yes... please... let it all out inside me...! Aahn...!,啊啊……！对……请把全部……都射在我里面……！啊啊……！,あぁ…っ！そうです……わ、私の中に…全部出してください…！あぁん…っ！,가.. 가요..! 제 안에.. 전부 싸 주세요..! 아앙!,啊啊……！對……請把全部……都射在我裡面……！啊啊……！,照れてる,A...! Đúng rồi...... V-vào trong em... hãy bắn hết vào đi anh...! A...!
SCENE_BUTLER_AHEN_KISS_3,Mmm...,啾……,ちゅっ…,쪼옥..,啾……,フェラ,Chụt...
SCENE_MAI_COWGIRL_MARKING_READY_01,Hehe... nice... your thick cock is pressing against me down there.,嘿嘿……不错耶……你那根粗大的鸡鸡顶在下面了。,へへ…いーね…あんたのぶっといちんぽ…下に当たってるし。,"헤헤.. 좋아.. 네 단단한 자지, 아랫배에 닿고 있어.",嘿嘿……不錯耶……你那根粗大的雞雞頂在下面了。,照れてる,Hê hê... được đấy chứ... con cặc thô bạo của cậu... đang thúc ngay bên dưới tớ rồi này.
SCENE_REINA_BREAST_TOUCH_AFTER_01,Hah... hah... I'm sorry... I just...,哈啊……哈啊……对不起……我不小心……,はぁ…はぁ…ごめんなさい…私、つい…,하아.. 하아.. 죄송해요.. 저도 모르게..,哈啊……哈啊……對不起……我不小心……,照れてる,Hà... hà... em xin lỗi... em lỡ...
SCENE_MAI_COWGIRL_MARKING_READY_02,"Hey... your breathing's kinda rough, you know? You're seriously turned on.",欸……你鼻息也太粗了吧？超兴奋的嘛。,ちょっとぉ…鼻息荒いんですけど…？めちゃくちゃ興奮してんじゃん。,어이.. 콧바람이 거칠잖아.. 엄청 흥분했네.,欸……你鼻息也太粗了吧？超興奮的嘛。,照れてる,Này này... thở phì phò thế... Cậu đang hưng phấn tột độ rồi đúng không.
SCENE_MAI_COWGIRL_MARKING_READY_03,Aha... leave your mark all the way in the back of my womb...!,啊哈……把你的痕迹……留在我子宫最深处吧……！,あは…子宮の奥まで…あんたの匂い、残してよぉ…！,그래.. 자궁 깊은 곳까지.. 너의 흔적을 남겨줘..,啊哈……把你的痕跡……留在我子宮最深處吧……！,照れてる,A ha... vào tận sâu trong tử cung... hãy lưu lại mùi hương của cậu đi...!
SCENE_REINA_BREAST_TOUCH_AFTER_03,... Please... just a little longer... Let's stay like this...,……再一下……只要再一下下……请您就这样陪着我……,…少し…もう少しだけ…このままで…いさせてください…,..조금.. 조금만 더.. 이대로.. 있어주세요..,……再一下……只要再一下下……請您就這樣陪著我……,余韻,...Một chút... chỉ một chút nữa thôi... cho em cứ thế này... thêm một lát nhé...
SCENE_REINA_BREAST_TOUCH_AFTER_02,...I never knew... my breasts were this sensitive...,……我不知道……我的胸部……竟然这么敏感……,…私のおっぱい…こんなに…感じやすいなんて…知りませんでした…,..제 가슴.. 이렇게나.. 잘 느끼는 줄.. 몰랐어요..,……我不知道……我的胸部……竟然這麼敏感……,照れてる,...Em không ngờ... ngực của mình... lại nhạy cảm đến thế...
SCENE_PAZUZU_TENTACLE_RAPE_PLAYING_04,Ah... aah...! Something like this... could never make me...!,啊……啊啊……！我怎么可能……被这种东西……！,あ…ああっ…！こんな…こんなもので…わたしは…っ！,아.. 아앗..! 이런.. 이런 걸로..! 저는..!,啊……啊啊……！我怎麼可能……被這種東西……！,びっくり,A... á...! Chỉ bằng thứ... thứ này mà đòi làm ta...!
SCENE_PAZUZU_TENTACLE_RAPE_PLAYING_03,Auhn! I-I'm not... feeling it... naaah?!,啊嗯！我、我才没有……觉得舒服……嗯啊啊？ ！,あうんっ！か、感じたりなんて…んぁあっ…？！,아응! 느.. 느낀다거나 하는 게.. 엣?!,啊嗯！我、我才沒有……覺得舒服……嗯啊啊？！,びっくり,Á hộc! T-ta sao có thể thấy sướng được chứ... á...?!
SCENE_KONIAL_AHEN_6,Ngh...,嗯呃……,んぐっ…,으으..,嗯呃……,喘ぎ,Ực...
SCENE_PAZUZU_TENTACLE_RAPE_PLAYING_02,Hoh...! Nn...! If you stir inside me like that... ah... aahn...!,呼……！嗯嗯……！里面……被你这样搅弄的话……啊……啊啊……！,ふぅっ…！んん…！中を…そんな風に…かき回されたら…あ…あぁん…っ！,흐읏..! 으응..! 안쪽을.. 마구.. 휘저으면.. 아.. 아앙..!,呼……！嗯嗯……！裡面……被你這樣攪弄的話……啊……啊啊……！,びっくり,Phù...! Ưm...! Bên trong... nếu cứ bị khuấy loạn như thế... a... á...!
SCENE_PAZUZU_TENTACLE_RAPE_PLAYING_01,Aah...! Auh! P-please wait a moment...!,啊啊……！啊呜！请、请等一下……！,ああん……！あうっ！ちょ、ちょっと待ってくださいっ…！,"아앙..! 아읏! 자, 잠까안!",啊啊……！啊嗚！請、請等一下……！,緊張,A... á! K-khoan đã...!
SCENE_REINA_DOGGY_SWIMSUIT_CUM_02,I'll take your cock... all the way to my deepest place...!,我会让您的肉棒……进到我最深的地方……！,あなたのおちんちん…一番深いところまで、入れてあげますから…！,당신의 자지.. 가장 깊은 곳까지 넣을 테니까..!,我會讓您的肉棒……進到我最深的地方……！,絶頂,Bởi vì em sẽ đút... con cặc của anh vào tận nơi sâu nhất của em...!
SCENE_REINA_DOGGY_SWIMSUIT_CUM_01,I-I'm coming...! I can't... stop anymore...!,我、我要去了……！已经……停不下来了……！,い、イっちゃいます…！もう…止められませんっ…！,가.. 가버려요..! 멈추지 못하겠어요!,我、我要去了……！已經……停不下來了……！,絶頂,E-em ra mất thôi...! Không... không thể dừng lại được nữa...!
SCENE_BUTLER_MISSIONARY_READY_01,I-I'm embarrassed... Is it normal to get this wet...?,好、好害羞……竟然会湿成这样吗……？,は、恥ずかしいです…こんなに濡れてしまうものなのでしょうか…？,"부, 부끄러워요.. 원래 이렇게 젖는 건가요..?",好、好害羞……竟然會濕成這樣嗎……？,緊張,T-tôi xấu hổ quá... không biết cơ thể lại có thể ướt sũng đến mức này sao...?
SCENE_BUTLER_MISSIONARY_READY_02,"You really... are going to do it, yes? You're going to put your cock... inside?",您真的……要做……对吧？要把那根……放进来对吧？,本当に、なさるの……ですよね？おちんちん……入れるんですよね？,정말 하는.. 거죠? 자지.. 넣는 거죠?,您真的……要做……對吧？要把那根……放進來對吧？,緊張,Ngài định làm... thật sao? Định đút... con cặc vào đúng không ạ?
SCENE_BUTLER_MISSIONARY_READY_03,Please... I humbly place myself in your care... uuh...,还、还请您……多多关照……呜呜……,なにとぞ…よ、よろしくお願いいたします…うぅ…,"아무쪼록.. 자, 잘 부탁 드립니다.. 흐으..",還、還請您……多多關照……嗚嗚……,緊張,Trăm sự... x-xin ngài chiếu cố cho kẻ hèn này... ư...
SCENE_MAI_FELLATIO_AFTER_01,Pwah...! You came way more than I thought you would...,噗哈……！你比我想的还会射耶……,ぷはっ…！思ったよりいっぱい出したじゃん…,푸하..! 생각보다 많이 쌋잖아..,噗哈……！你比我想的還會射耶……,びっくり,Phà...! Cậu bắn ra nhiều hơn tớ tưởng đấy chứ...
SCENE_MAI_FELLATIO_AFTER_02,"Hehe... well, not bad. Felt good?",嘿嘿……嗯，还不坏。舒服吗？,へへ…ま、悪くなかったね。気持ちよかった？,"헤헤.. 뭐, 나쁘지 않았네. 기분 좋았어?",嘿嘿……嗯，還不壞。舒服嗎？,笑顔,Hê hê... cũng không tệ lắm. Cậu có sướng không?
SCENE_MAI_FELLATIO_AFTER_03,"We've still got time, so wanna do more?",还有时间，要不要再多做一点？,まだ時間あるし、もっとする？,"아직 시간 남았으니까, 좀 더 할래?",還有時間，要不要再多做一點？,笑顔,"Vẫn còn thời gian mà, làm tiếp không?"
SCENE_MAI_AHEN_10,Ngh...!,嗯呃……！,んぐっ…！,으긋..!,嗯呃……！,喘ぎ,Ực...!
SCENE_PAZUZU_TENTACLE_RAPE_AFTER_03,Auh... my tummy... so full...,啊呜……肚子里……被填满了……,あぅ…お腹の中…いっぱいです…,앙.. 배 안이.. 가득해요..,啊嗚……肚子裡……被填滿了……,緊張+余韻,Ư... trong bụng đầy ứ rồi...
SCENE_PAZUZU_TENTACLE_RAPE_AFTER_02,Uuh... t-this much... hah...,呜呜……这、这点程度……哈啊……,うぅっ…こ…この程度で…はぁ…,으읏.. 겨우 이 정도로.. 하아..,嗚嗚……這、這點程度……哈啊……,緊張+余韻,Ư... c-chỉ thế này thôi sao... hà...
SCENE_PAZUZU_TENTACLE_RAPE_AFTER_01,Hah... hah... ah... ahaa...,哈啊……哈啊……啊……啊哈啊……,はぁ…はぁ…あっ…ぁはぁ…,하아.. 하아.. 아.. 엉망진창..,哈啊……哈啊……啊……啊哈啊……,緊張+余韻,Hà... hà... a... a...
SCENE_MAI_DOGGY_DOOR_PLAYING_04,Because I can't see anything... I feel your cock so much more...!,因为什么都看不到……反而更能感觉到你的肉棒了……！,なにも見えないせいで…あんたのちんぽ、すっごい感じるじゃん…！,아무것도 안 보여서.. 네 자지가 더 잘 느껴지잖아..!,因為什麼都看不到……反而更能感覺到你的肉棒了……！,びっくり,Vì không nhìn thấy gì... nên tớ lại càng cảm nhận rõ con cặc của cậu hơn đấy...!
SCENE_MAI_DOGGY_DOOR_PLAYING_03,Auh...! It's pounding through my whole body...!,啊呜……！整个身体都被震得好厉害……！,あうっ…！ 体中、ガンガン響いてるぅ…っ！,하읏..! 온 몸이 쿵쿵 울리고 있어..!,啊嗚……！整個身體都被震得好厲害……！,びっくり,Á...! Toàn thân em cứ rung lên bần bật ấy...!
SCENE_KONIAL_DEEPTHROAT_AFTER_01,Pwah...! Cough... hah... hah...!,噗哈……！咳……哈啊……哈啊……！,ぷはっ…！げほっ…はぁ…はぁ…！,푸하..! 케헥.. 하아.. 하아..,噗哈……！咳……哈啊……哈啊……！,口内射精,Khạc...! *Khụ khụ*... hà... hà...!
SCENE_MAI_DOGGY_DOOR_PLAYING_02,It doesn't hurt...! Thrust harder into me...!,又不会痛……！再更激烈地插我啊……！,痛くないから…！もっと、激しく突いてよぉ…っ…！,아프지 않으니까..! 더 빠르게 박아줘..읏!,又不會痛……！再更激烈地插我啊……！,びっくり,Không đau đâu mà...! Cậu đâm mạnh hơn nữa đi mà...!
SCENE_MAI_AHEN_FELLATIO_4,Gulp...,吞……,ごくん…,꿀꺽..,吞……,フェラ,Nuốt...
SCENE_MAI_DOGGY_DOOR_PLAYING_01,Aahn...! Too rough...! Auh...!,啊啊……！太激烈了啦……！啊呜……！,ああん…！激しすぎだってぇ…！あうっ…！,아앙..! 너무 격렬하잖아..! 아응!,啊啊……！太激烈了啦……！啊嗚……！,びっくり,A...! Cậu làm mạnh quá rồi đấy...! Á...!
SCENE_KONIAL_DEEPTHROAT_AFTER_03,Ugh... my mouth is full... of the smell of semen...!,呜呃……嘴里全是……精液的味道……！,ぅえ…口の中いっぱい…精液の…匂いが…！,으엑.. 입 안 가득.. 정액이.. 냄새가..,嗚呃……嘴裡全是……精液的味道……！,口内射精,Oẹ... trong miệng toàn... mùi tinh dịch khó chịu...!
SCENE_PAZUZU_AHEN_FELLATIO_5,...Lick...,……舔……,…ぺろ…,..할짝..,……舔……,フェラ舐め,...Liếm...
SCENE_KONIAL_DEEPTHROAT_AFTER_02,S-such insolence... cough...! cough!,竟、竟敢如此放肆……咳……！咳咳！,な…生意気な真似を…けふっ…！ごほっ！,이.. 건방진 녀석이.. 케흑..! 쿨럭!,竟、竟敢如此放肆……咳……！咳咳！,口内射精,N-ngươi dám vô lễ thế sao... *khụ*...! *khụ khụ*!
SCENE_KONIAL_AHEN_KISS_1,Nnmm...,嗯唔……,んむ…,우음..,嗯唔……,フェラ,Ưm...
SCENE_PAZUZU_AHEN_FELLATIO_2,Nnmm... ngh...,嗯唔……嗯呃……,んむ…んぐぅ…,우물.. 우물..,嗯唔……嗯呃……,フェラ,Ưm... ực...
SCENE_PAZUZU_AHEN_FELLATIO_3,Ngh...!,嗯呃……！,んぐっ…！,우웁..!,嗯呃……！,フェラ,Ực...!
SCENE_PAZUZU_COWGIRL_READY_02,Uhi... hah... hii...,呜嘻……哈呼……咿……,うひっ…はふっ…ひぃ…,으히.. 하흣.. 헤에..,嗚嘻……哈呼……咿……,不敵な笑み,Hư... ư... ha...
SCENE_REINA_DOGGY_CUM_02,"I-if you do it that hard, I'll... Aah!",您、您这样激烈的话，我……啊啊！,そ、そんな…激しくされたら、私……ああっ！,더.. 더 격렬하게 하면 저는.. 아앗!,您、您這樣激烈的話，我……啊啊！,絶頂,N-nếu anh... làm mạnh thế... em...... á!
SCENE_PAZUZU_COWGIRL_READY_03,So this is... a human cock...,这就是……人类的阴茎……,これが、人間のおちんちん…,이게 인간의 자지..,這就是……人類的陰莖……,軽い驚き,Thì ra đây là con cặc của loài người...
SCENE_REINA_DOGGY_CUM_01,I-I'm coming...! You're hitting my womb...! Aah...!,我、我要去了……！顶到子宫了……！啊啊……！,い、いっちゃいます…！子宮に…当たってますぅ…！ああん…っ！,가.. 가버려요..! 자궁에.. 닿고 있어요..! 아앙!,我、我要去了……！頂到子宮了……！啊啊……！,絶頂,E-em ra mất thôi...! Chạm vào tận tử cung rồi...! A...!
SCENE_KONIAL_DEEPTHROAT_CUM_01,Uph...! Ngh... mgh...?!,唔噗……！嗯呃……嗯咕……？ ！,うぷっ…！んぐ…むぐぅ…？！,우웁! 으으읍..?!,唔噗……！嗯呃……嗯咕……？！,精液を含んだ口,Ực...! Ưm... ực...?!
SCENE_PAZUZU_COWGIRL_READY_01,Your cock is getting hot... do you want to put it in right now...?,你的那根变烫了呢……已经想立刻放进来了吗……？,おちんちん、熱くなってますよ…今すぐにでも入れたいんですか…？,자지 뜨거워요.. 당장이라도 넣고 싶나요..?,你的那根變燙了呢……已經想立刻放進來了嗎……？,期待に満ちた,Con cặc của ngươi nóng hổi lên rồi này... Muốn đút vào trong ngay lập tức rồi sao...?
SCENE_KONIAL_DEEPTHROAT_CUM_02,W-wait... cough?!,等、等一下……咳？ ！,ちょ……ちょっと……？けほっ？！,자.. 잠깐..? 케엑?!,等、等一下……咳？！,精液を含んだ口,K-khoan...... chờ đã...? *khụ*?!
SCENE_REINA_SYUYU_PLAYING_01,Aah...! I-it feels strange... being sucked so much...,啊啊……！感、感觉好奇怪……被您吸得这么用力……,ああんっ…！へ、変な感じです…たくさん吸われて…,아앙.. 이.. 이상한 기분이에요.. 잔뜩 빨려서..,啊啊……！感、感覺好奇怪……被您吸得這麼用力……,照れてる,A...! C-cảm giác lạ quá... anh cứ bú liên tục thế...
SCENE_REINA_SYUYU_PLAYING_03,Hah... hah... good... I'll rub against your cock more...,哈啊……哈啊……很好……我会再多磨蹭您的阴茎……,はぁ…はぁ…いいですね…おちんちん、もっと擦りつけてあげますね…,"하아.. 하아.. 좋아요.. 자지, 더 문질러 드릴게요..",哈啊……哈啊……很好……我會再多磨蹭您的陰莖……,照れてる,Hà... hà... sướng quá... để em chà xát nó nhiều hơn cho anh nhé...
SCENE_REINA_SYUYU_PLAYING_02,Nn... please drink... as much as you like...,嗯……请喝很多……好吗……,んぅ…いっぱい、飲んでくださいね…,으응.. 잔뜩 마셔주세요..,嗯……請喝很多……好嗎……,照れてる,Ưm... anh hãy uống thật nhiều vào nhé...
SCENE_REINA_SYUYU_PLAYING_04,More... suck harder... drink it all...,再……请更用力吸……全部……都喝掉……,もっと…もっと強く吸ってください…全部…飲んでください…,더.. 더 깊이 빨아주세요.. 전부.. 마셔 주세요..,再……請更用力吸……全部……都喝掉……,照れてる,Nữa đi... anh hãy bú mạnh hơn nữa đi... hãy uống sạch hết đi anh...
SCENE_KONIAL_COWGIRL_CUM_02,You may come inside...! It's not as if I can get pregnant...!,可以射在里面喔……！反正……又不会怀孕……！,中に出してもいいぞ……！妊娠なんて……しないんだからな…っ！,안에 싸도 돼..! 임신따위.. 안 하니까~!,可以射在裡面喔……！反正……又不會懷孕……！,からかう,Bắn vào trong luôn cũng được......! Ta không thể... có thai được đâu...!
SCENE_KONIAL_COWGIRL_CUM_01,Already about to come...? Your cock is pulsing.,已经快射了吗……？你的肉棒在跳动了呢。,もうイきそうなのか…？ちんぽが脈打ってるじゃないか。,벌써 가버릴 거 같아~? 자지가 울컥거리잖아.,已經快射了嗎……？你的肉棒在跳動了呢。,からかう,Đã sắp ra rồi sao...? Ta thấy nó đang giật giật rồi kìa.
SCENE_REINA_MISSIONARY_ONSEN_PLAYING_04,A-aah...! It feels good...! Stir me up harder with your hot cock...!,啊、啊啊……！好舒服……！请用您烫热的肉棒……更激烈地搅弄我……！,あ…ああんっ…！気持ちいいです…！もっと、熱いおちんちんで…激しく…かき回してください…っ！,아.. 아앙..! 좋아요.. 뜨거운 자지로.. 마구 휘저어주세요..!,啊、啊啊……！好舒服……！請用您燙熱的肉棒……更激烈地攪弄我……！,びっくり,A... á...! Sướng quá đi mất...! Hãy dùng con cặc nóng bỏng của anh... ra sức... khuấy đảo bên trong em đi...!
SCENE_REINA_MISSIONARY_ONSEN_PLAYING_02,Hah... more... thrust even deeper...!,哈呜……再……请插得更深一点……！,はうっ…もっと…もっと奥まで突いてください…っ…！,하읏.. 더.. 더 깊숙이 찔러주세요..!,哈嗚……再……請插得更深一點……！,照れてる,Ưm... đâm sâu nữa đi... đâm chạm đáy đi anh...!
SCENE_REINA_MISSIONARY_ONSEN_PLAYING_03,That hard thing... is reaching my deepest part... fuaah...!,硬硬的……顶到最里面了……呼啊啊……！,硬いのが…一番奥まで届いてますぅ…ふぁあっ…！,단단한 게.. 끝까지 닿고 있어요.. 흐읏!,硬硬的……頂到最裡面了……呼啊啊……！,照れてる,Cái cứng ngắc của anh... đã chạm đến tận cùng sâu thẳm của em rồi... a...!
SCENE_REINA_MISSIONARY_ONSEN_PLAYING_01,...Aaah...! Deep inside... it's so hot... I feel like I'm melting...,……啊啊……！里面……好热……好像要融化了……,…あぁんっ…！奥が…熱くて…溶けちゃいそうです…,아앙..! 안쪽이.. 뜨거워서.. 녹아버릴 거 같아요..,……啊啊……！裡面……好熱……好像要融化了……,びっくり,...A... á...! Sâu bên trong... nóng quá... em cảm thấy như mình sắp tan chảy ra mất...
SCENE_MAI_SUMATA_AFTER_01,Hah... hah... wow...,哈啊……哈啊……好猛……,はぁ…はぁ…すっご…,하아.. 하아.. 엄청나네..,哈啊……哈啊……好猛……,びっくり,Hà... hà... đỉnh quá...
SCENE_MAI_PAIZURI_READY_03,Even the tip's hidden now. Hehe.,连龟头都藏起来了。嘿嘿。,亀頭まで全部隠れちゃった。へへっ。,귀두까지 전부 숨어 버렸어. 헤헤.,連龜頭都藏起來了。嘿嘿。,遊び心,Lút cả đầu khấc luôn rồi kìa. Hê hê.
SCENE_MAI_PAIZURI_READY_02,Your cock... it's all buried between them. So hot...,你的肉棒……整根都埋进去了。好烫……,あんたのちんぽ…全部入っちゃった。すっごい熱い…,네 자지.. 전부 들어왔어. 엄청 뜨거워..,你的肉棒……整根都埋進去了。好燙……,照れてる,Con cặc của cậu... kẹp trọn hết vào rồi. Nóng quá đi...
SCENE_MAI_SUMATA_AFTER_03,"I'm all sticky with your cum... seriously, like a crazy amount...",都被你的精液弄得黏答答的……量也太多了吧……,あんたの精液でベトベトじゃん…マジですごい量…,네 정액으로 끈적끈적해.. 정말 많이 나왔네.,都被你的精液弄得黏答答的……量也太多了吧……,びっくり,Dính đầy tinh dịch của cậu luôn rồi này... lượng tinh khủng khiếp thật đấy...
SCENE_MAI_PAIZURI_READY_01,Hehe... want me to squeeze you harder?,嘿嘿……要我夹得更用力吗？,へへ…もっと強く挟んであげよっか？,헤헤.. 더 세게 끼워 줄까?,嘿嘿……要我夾得更用力嗎？,笑顔,Hê hê... tớ kẹp mạnh hơn nữa cho cậu nhé?
SCENE_REINA_DOGGY_WINDOW_AFTER_03,...Something like this... isn't bad once in a while...,……偶尔这样……也不坏呢……,…たまには、こういうのも…悪くないですね…,..가끔은 이런 것도.. 나쁘지 않네요..,……偶爾這樣……也不壞呢……,笑顔,...Thỉnh thoảng làm thế này... cũng không tệ đâu anh nhỉ...
SCENE_MAI_SUMATA_AFTER_02,Hehe... how was it? Were my thighs that good?,嘿嘿……怎样？我的大腿有那么爽吗？,へへ…どーだった？あたしの太もも…そんなに良かった？,헤헤.. 어땠어? 내 허벅지.. 그렇게 좋았어?,嘿嘿……怎樣？我的大腿有那麼爽嗎？,笑顔,Hê hê... sao nào? Đùi của tớ... làm cậu sướng đến thế cơ à?
SCENE_REINA_DOGGY_WINDOW_AFTER_02,...Hah... h-how was it? ...Hoo... Did you like it...?,……哈啊……您、您觉得如何呢？ ……呼……喜欢吗……？,…はぁ…い、いかがでしたか？…ふぅ…気に入っていただけましたか…？,..어떠셨나요? ..흐읏. ..마음에 드셨나요?,……哈啊……您、您覺得如何呢？……呼……喜歡嗎……？,余韻,...Hà... a-anh thấy thế nào ạ? ...Phù... anh có thích không...?
SCENE_MAI_DOGGY_BUNNY_PLAYING_04,More... harder...! Do me... until I'm a mess...!,再来……更激烈一点……！把我……弄得乱七八糟……！,もっと…もっと激しくぅ…！…してよ…めちゃくちゃにぃ…っ！,더.. 더 거칠게.. 해줘.. 엉망진창으로.. 옷!,再來……更激烈一點……！把我……弄得亂七八糟……！,照れてる,Nữa đi... mãnh liệt hơn nữa đi...! Làm tớ... điên đảo luôn đi...!
SCENE_KONIAL_PRESS_AFTER_01,Oooh... oh... oho... uuuuh...!,喔喔……喔……喔呵……呜呜……！,おおぉぉ…おっ…おほっ…うぅぅっ…っ！,으고옷.. 오홋.. 으으읏..,喔喔……喔……喔呵……嗚嗚……！,精神/心+おほ声 (壊れた喘ぎ声),Ôi... ôi... ư... ưm...!
SCENE_REINA_DOGGY_WINDOW_AFTER_01,Hah... hah... amazing... my legs... They're shaking...,哈啊……哈啊……好厉害……我的脚……在发抖……,はぁ…はぁ…すごかったです…脚が…震えて…,하아.. 하아.. 대단해요.. 다리가.. 떨려요..,哈啊……哈啊……好厲害……我的腳……在發抖……,余韻,Hà... hà... đỉnh quá anh ơi... chân em... đang run bần bật rồi này...
SCENE_REINA_MISSIONARY_ONSEN_READY_03,In this position... it goes even deeper than usual...,这个姿势的话……会比平常……进得更深呢……,この体勢なら…いつもよりもっと…奥まで入ってきますね…,이 자세라면.. 더 깊이까지 들어올 거에요..,這個姿勢的話……會比平常……進得更深呢……,期待 / 予感,Tư thế này... sẽ đút được sâu vào tận bên trong... hơn mọi khi đấy anh...
SCENE_KONIAL_PRESS_AFTER_02,Ugh... it feels... good...!,呜呃……好……舒服……！,うぐっ…き、気持ち…いいぃ…！,으긋.. 기.. 기분 조하아..,嗚呃……好……舒服……！,精神/心+おほ声 (壊れた喘ぎ声),Ực... s-sướng... sướng quá...!
SCENE_REINA_MISSIONARY_ONSEN_READY_02,Yes... put it... inside me...,嗯……请放进……我里面……,はい…私を…あなたで…いっぱいにしてください…,네.. 제 안에.. 가득 넣어주세요..,嗯……請放進……我裡面……,期待 / 予感,Vâng... anh hãy... lấp đầy em... bằng của anh đi...
SCENE_KONIAL_PRESS_AFTER_03,Hoo... fgh... my womb is full... uuh...,呼……唔咕……子宫被填满了……呜呜……,ふぅっ…ふぐぅ…子宮、いっぱいに…ぅうっ…,흐읏.. 자궁 안에 가득해엣.. 으읏..,呼……唔咕……子宮被填滿了……嗚嗚……,精神/心+おほ声 (壊れた喘ぎ声),"Phù... ực... tử cung ta, bị lấp đầy rồi... ư..."
SCENE_REINA_MISSIONARY_ONSEN_READY_01,Hah... your cock... is already this hot...,哈啊……您的阴茎……已经这么烫了……,はぁ…あなたのおちんちん…もうこんなに熱くなって…,하아.. 당신의 자지.. 벌써 이렇게 뜨거워요..,哈啊……您的陰莖……已經這麼燙了……,期待 / 予感,Hà... con cặc của anh... mới thế đã nóng rực lên rồi...
SCENE_MAI_DOGGY_BUNNY_PLAYING_01,Haaahn...! Nnnh! Thrust into me... harder...!,哈啊啊……！嗯啊！更激烈地……插我……！,はぁあんっ…！んぁっ！激しく…突いてぇ…！,아앙! 앙! 격렬하게.. 박아줘..!,哈啊啊……！嗯啊！更激烈地……插我……！,びっくり,A... ưm! Đâm mạnh... mạnh nữa đi cậu...!
SCENE_KONIAL_ONAHLE_AFTER_02,"Well? Kon-chan made you feel incredible, didn't she?",怎样？小柯让你爽到不行了吧？,どうだった？コンちゃんは、最高に気持ちよかっただろう？,"어땠어? 콘짱, 기분 최고였지?",怎樣？小柯讓你爽到不行了吧？,からかう,Thế nào? Bé Kon làm ngươi sướng đến phát điên đúng không?
