Type,EventID,Korean,Vietnamese,SourceFile,Line
mai,8f9,"꽉 쥐지 않으면 흘러 내릴 정도로 부드럽고 말랑하지?","Rất mềm và nhão, chúng sẽ tuột đi nếu cậu không bóp chặt, phải không?",e_bra.dtl,90
mai,8fa,"으음.. 제법 잘 하네. 응.. 좀 더 그쪽.. 더 세게 꼬집어도 돼..","Ừm... cũng khá đấy chứ, ừ... thêm nữa... chỗ đó... véo mạnh hơn cũng được...",e_bra.dtl,91
narration,8fb,"손에 다 잡히지 않을 정도의 거유의 자극을 느끼느라 자지에 쏠리는 혈액이 한도에 달해 커질대로 커져 있었다.","Bị choáng ngợp bởi sự kích thích của những gò ngực đó - quá lớn để tay tôi có thể chứa được - quá nhiều máu đã dồn vào dương vật của tôi đến nỗi nó đã sưng lên đến giới hạn tuyệt đối.",e_bra.dtl,92
narration,8fc,"금방이라도 사정하고 싶은 욕구를 어떻게든 해소하기 위해 본능적으로 마이의 엉덩이에 비벼댄다.","Tôi như theo bản năng, muốn xả ngay cơn xung cọ vào mông Mai.",e_bra.dtl,93
mai,8fd,"읏, 헤헤. 단단한 거 엄청 문지르고 있잖아. 많이 괴로워?","Mmph, hehe. Cậu đang chà xát thứ gì đó rất cứng ở dưới đó phải không? Cảm thấy khá dồn nén?",e_bra.dtl,94
mai,8fe,"어쩔 수 없네~ 이쪽도 해결하지 않으면 안 되겠지. 자지 꺼내 볼래?","Đành chịu thôi~ Bên này cũng phải xử lý chứ. Cho tớ xem cặc?",e_bra.dtl,95
mai,8ff,"여기는 내가 가지고 놀아 줄게. 이렇게.. 부드러운 허벅지 사이에 끼워서.","Bên này để tớ chơi cho. Cứ kẹp thế này... vào giữa đùi~",e_bra.dtl,96
narration,900,"얇지만 길다란 손이 등 뒤로 다가와 마이의 엉덩이 골에 놓인 나의 발기한 자지를 쥔다.","Tay thon dài vòng ra sau lưng, nắm lấy cặc cương đang kẹp trong khe mông Mai.",e_bra.dtl,97
narration,901,"자지를 쥔 손이 그대로 내려와 그녀의 팬티 아래, 포동하게 살이 오른 양 허벅지의 좁디좁은 틈새로 나의 귀두부터 밀어넣는다.","Tay nắm cặc hạ xuống, dưới quần lót, giữa khe đùi đầy thịt, quy đầu bị đẩy vào.",e_bra.dtl,98
mai,902,"으읏.. 응, 뜨거운게 내 허벅지를 헤집고 들어 와..","Nngh... Yeah, có thứ gì đó nóng hổi đang tiến vào giữa hai đùi tôi...",e_bra.dtl,101
mai,903,"어때? 보지하고 구분할 수 없을 정도로 기분좋지?","...Sao nào? Sướng không thua lồn ha?",e_bra.dtl,102
mai,904,"아하하, 네 자지도 완전 뜨거워.","Haha! Cặc cậu cũng nóng hổi quá nè.",e_bra.dtl,103
mai,905,"여기서 움직일 수 있겠어? 허리를 앞 뒤로 왔다갔다 하는거야..","Từ đây cử động được không? Cứ đưa hông tới lui như vầy...",e_bra.dtl,104
mai,906,"읏, 맞아. 그렇게. 헤헤..","Ừ, đúng đúng. Cảm giác đó. Hehe...",e_bra.dtl,106
mai,907,"보지에 넣은 걸로 착각할 정도로 좋지? 헤헷.. 읏응.. 아..","Cứ ngỡ như đang trong lồn ấy... cũng sướng ha? Hehe... ưm... haa...",e_bra.dtl,107
mai,908,"격렬해.. 아무리 그렇게 열심히 자지를 박아도.. 임신하지 않는다고.","Dữ vậy... cọ cặc cố quá thì... không có thai được đâu~",e_bra.dtl,108
mai,909,"보지가.. 아니니까.. 아응.. 가슴 만지는 것도 익숙해 진 거 같네.. 완전 열중했잖아?","Vì không phải... lồn... a ưn... sờ ngực cũng quen rồi ha... mê mẫn quá nhỉ...?",e_bra.dtl,109
mai,90a,"이렇게 하면 가슴이 좀 더 기분 좋다고, 부드럽게 큰 원을 그리듯..","Làm như thế này thì ngực mình càng sướng hơn... Đẹp dịu dàng như vẽ những vòng tròn lớn...",e_bra.dtl,110
mai,90b,"아읏, 잘 하네.. 그렇게 하는 거야.","Ahh, tuyệt.. Cứ như vậy đi.",e_bra.dtl,111
mai,90c,"만약 싸 버리고 싶으면 언제든. 잔뜩 사정해. 임신하지 않으니까..","Lúc nào muốn ra thì cứ ra đi. Bắn tinh thoải mái. Ở đây khỏi lo có thai...",e_bra.dtl,112
mai,90d,"단 한가지, 기분 좋아지는 것만 생각하는 거야. 알았지?","Chỉ cần tập trung vào cảm giác tốt. Hiểu rồi?",e_bra.dtl,113
mai,90e,"아앙.. 하아.. 엄청나네.","Aaahn... Haah... Thật điên rồ.",e_bra.dtl,115
mai,90f,"자위할 때랑은 양이 다르지?","Nhiều hơn so với khi cậu tự mình thủ dâm, phải không?",e_bra.dtl,116
mai,910,"자지가 보지 속을 헤집고 있다 착각했나 봐.","Chắc cặc... tưởng đang khuấy trong lồn... đúng không?",e_bra.dtl,117
mai,911,"이정도 양이라니.. 진짜 섹스였다면 백프로 임신이야. 헤헷..","Hãy nhìn đống tinh trùng đó... Nếu đó là quan hệ tình dục thực sự thì tôi đã có thai một trăm phần trăm rồi. Hehe...",e_bra.dtl,118
mai,912,"어때, 기분 좋았어?","Sao, sướng không?",e_bra.dtl,119
choice,913,"최고였어..","Tuyệt vời...",e_bra.dtl,120
choice,914,"하지만 어째서 이렇게까지.","Nhưng sao cậu lại làm đến mức này...",e_bra.dtl,121
mai,915,"뭐어? 이제와서 그런 얘기라니.. 정말.","Hả? Bây giờ cậu đang hỏi điều đó...? Nghiêm túc.",e_bra.dtl,122
mai,916,"그야 이 장소.. 조금 에로한 컨셉의 세트장 같으니까. 분위기를 탄거랄까.","Thì chỗ này... concept nó đã gợi dục sẵn mà? Ừ thì, thuận theo bầu không khí thôi.",e_bra.dtl,123
mai,917,"코니알에게 당할 때 기분 좋아보이기도 했고.. 제법 좋은 자지 가지고 있어서..","Ngoài ra, trông cậu có vẻ khá thoải mái khi Konial làm chuyện đó với cậu... Và cậu có một con cặc khá đẹp, nên...",e_bra.dtl,124
mai,918,"가슴 만지며 스마타까지는 삽입은 아니니 세이프. 그렇지? 헤헤.","Chạm vào ngực tôi và quan hệ tình dục không phải là hành vi xâm nhập thực sự nên nó hoàn toàn an toàn. Phải? Hehe.",e_bra.dtl,125
mai,919,"네가 고생하는 거에 대한 답례였지만.. 중간부턴 나도 기분 좋았어. 혼자 하는거랑은 역시 다르네.","Lẽ ra đó là lời cảm ơn vì sự chăm chỉ của cậu, nhưng... được nửa chặng đường tôi cũng bắt đầu cảm thấy dễ chịu. Chắc chắn khác với việc làm một mình.",e_bra.dtl,126
mai,91a,"다음에도 기운을 차리고 싶으면 언제든 말해줘. 전차 안에서라면 눈치볼 필요도 없으니까 말이야.","Nếu cậu muốn nạp lại năng lượng, chỉ cần nói một lời. Dù sao cũng không có ai theo dõi chúng ta trên chuyến tàu này.",e_bra.dtl,127
mai,91b,"꺄아~ 고양이잖아?","Chà! Mèo kìa!",e_cat.dtl,4
mai,91c,"이리 와봐! 한번만 쓰다듬어 봐도 돼? 우쭈쭈..","Lại đây nào! Vuốt một cái được không? Âu yếm...",e_cat.dtl,5
choice,91d,"무시하고 자고 있네.","Lơ tớ rồi ngủ luôn kìa.",e_cat.dtl,6
mai,91e,"그러게.. 그게 매력이지만 말이야.","Phải ha... mà, vậy mới dễ thương chứ.",e_cat.dtl,8
mai,91f,"고양이들은 아닌 것처럼 보여도 실은 다 듣고 있다는 거 있지? 그냥 귀찮아서 무시하는 거래. 정말 웃기지 않아?","Nghe nói mèo làm như không nghe nhưng thực ra nghe hết đấy. Chỉ là lười nên lơ thôi. Buồn cười ha?",e_cat.dtl,9
choice,920,"마이는 고양이를 좋아해?","Cậu có thích mèo không, Mai?",e_cat.dtl,10
mai,921,"나? 나는..","Tôi? Tốt...",e_cat.dtl,11
mai,922,"잠시 이리 와봐.","Hãy đến đây một giây.",e_cat.dtl,12
mai,923,"(...)","(...)",e_cat.dtl,13
mai,924,"(..사실은 강아지를 더 좋아해.)","(…Thực ra, mình thích chó hơn.)",e_cat.dtl,15
choice,925,"근데 어째서 속삭이는 거야?","Nhưng sao mèo lại thì thầm?",e_cat.dtl,16
choice,926,"숨결이 귀에 닿아서 기분좋아..","Hơi thở của cậu cù vào tai tôi... thật dễ chịu.",e_cat.dtl,17
mai,927,"에, 그야 방금도 말했잖아?","Ơ, chuyện đó nãy tớ vừa bảo cậu rồi còn gì?",e_cat.dtl,18
mai,928,"고양이들은 아닌 척 해도 다 듣고 있다니까. 저거 봐, 한쪽 귀가 우리쪽으로 기울었지?","Mèo giả vờ như không nghe thấy nhưng thực ra chúng nghe thấy tất cả mọi thứ. Nhìn xem, một bên tai của nó nghiêng về phía chúng ta như thế nào?",e_cat.dtl,19
choice,929,"정말이네..","Thật rồi...",e_cat.dtl,20
mai,92a,"고양이도 나름의 매력이 있지만 어쩐지 나랑은 어울리지 않는달까?","Mèo đều có nét quyến rũ riêng của chúng, nhưng không hiểu sao tôi lại cảm thấy chúng không thực sự có cảm tình với tôi, cậu biết không?",e_cat.dtl,22
mai,92b,"그야 나는 시끄럽고 칠칠맞으니까. 얌전하고 도도한 고양이 느낌하곤 딴판이잖아.","Tớ ồn ào mà lại thô nữa. Khác hẳn mèo điềm đạm kiêu kỳ mà.",e_cat.dtl,23
mai,92c,"고양이가 어울리는 건 레이나 쪽이려나? 레이나짱, 귀엽고 정숙해서 인기도 무척 많을 거 같아..","Mèo sẽ hợp với Reina hơn phải không? Cô ấy thật dễ thương và duyên dáng... Tôi cá là cô ấy rất nổi tiếng với các chàng trai.",e_cat.dtl,24
mai,92d,"역시 남자는.. 그런 쪽을 더 좋아하는 걸까?","Tôi đoán mọi người thích... kiểu đó hơn, phải không?",e_cat.dtl,25
choice,92e,"확실히 레이나는..","Đúng, Reina thì...",e_cat.dtl,26
choice,92f,"다른 남자들의 시선을 엄청 받았지.","...nhận được rất nhiều sự chú ý từ những chàng trai khác.",e_cat.dtl,27
narration,930,"(그건 마이도 마찬가지지만..)","(Tuy nhiên, Mai cũng vậy...)",e_cat.dtl,28
mai,931,"그렇구나. 으음.. 나도 역시 이미지를 좀 바꿔봐야 하나?","Phải ha, ừm... chắc tớ cũng nên đổi hình tượng nhỉ~?",e_cat.dtl,30
choice,932,"남자들한테 인기 많아지고 싶어?","Muốn nổi với con trai hả?",e_cat.dtl,31
mai,933,"응? 그건 별로 관심 없지만.. 으음~ ..너는.. 어떤 쪽이 좋아?","Ủa? Cái đó tớ không quan tâm, ...ừm... c-cậu thích bên nào?",e_cat.dtl,32
mai,934,"너도 다른 남자들처럼 조용하고 여성스러운 쪽이 좋겠지?","Chắc cậu cũng như thằng đàn ông khác, thích đứa dịu dàng nữ tính ha?",e_cat.dtl,33
choice,935,"나는 활발하고 기운 넘치는 마이가 좋아.","Anh thích Mai năng động vui vẻ cơ.",e_cat.dtl,34
mai,936,"..하하하! 뭐야..","...Ahaha! Cái quái gì vậy...",e_cat.dtl,36
mai,937,"마치 내가 그런 대답을 유도한 거 같잖아. 정말..","Cứ như tớ ép cậu trả lời vậy ấy, thôi nào...",e_cat.dtl,37
mai,938,"뭐, 그럼 됐어! 지금의 내가 좋다는 거지? 다른 남자들이 어떻게 보든 상관 없어.","Hừ, vậy được rồi! Là thích Mai hiện tại đúng không? Kệ người khác nghĩ gì.",e_cat.dtl,39
mai,939,"네가 날 지금처럼 사랑해 주면.. 난 이대로 있을게. 활기차고 항상 웃는 모습으로, 알았지?","Chỉ cần em yêu anh như thế này... anh sẽ vẫn như cũ. Tươi sáng và luôn mỉm cười, hiểu không?",e_cat.dtl,40
choice,93a,"응, 그대로가 좋아.","Vâng, tôi thích cậu như chính con người cậu vậy.",e_cat.dtl,41
choice,93b,"오히려 변하지 않았으면 좋겠어.","Cứ giữ vậy đi, đừng đổi.",e_cat.dtl,42
mai,93c,"헤헤.. 으응. 정말.. ..너 때문에 또 스위치 켜져 버렸잖아.","Hehe... ừ, thiệt... lại bị cậu bật công tắc rồi nè",e_cat.dtl,46
mai,93d,"저기.. ..지금 여기서 한번 할까? 응? 지금은 둘 뿐이니까.","Này... giờ mình làm một phát nhé?... Ưm? Giờ chỉ có hai đứa thôi mà",e_cat.dtl,47
choice,93e,"그치만 듣는 귀가 있다고 했지 않아?","Nhưng nãy bảo có tai nghe mà...?",e_cat.dtl,48
mai,93f,"어? ..아!","Hả?...Ồ!",e_cat.dtl,50
mai,940,"맞아, 고양이를 잊었네. 헤헤.. 어쩐지 부끄럽잖아..","Đúng rồi, tôi hoàn toàn quên mất con mèo. Hehe... Giờ thì thấy xấu hổ quá.",e_cat.dtl,51
mai,941,"..?","..?",e_cat.dtl,52
mai,942,"없네? 그새 어디 간거지?","Nó đi rồi à? Nó đi đâu nhanh thế?",e_cat.dtl,54
choice,943,"정말 고양이 답네.","Đúng là giống mèo thật đấy.",e_cat.dtl,55
mai,944,"으음. 만져보지 못한 건 아쉽지만, 그건 그거고.","Ừm~ Không vuốt được mèo hơi tiếc, nhưng thôi kệ.",e_cat.dtl,56
mai,945,"그럼 이제 둘뿐이니까.. 해도 되는 거지? 자~ 키스부터.. 우움..","Vậy giờ chỉ còn hai đứa... nên làm được đúng không? Bắt đầu từ nụ hôn... ưm...",e_cat.dtl,58
narration,946,"(..툭)","(*bụp*)",e_cat.dtl,59
mai,947,"아얏! 머리 위로 뭔가 떨어졌어..","A uế! Có gì rơi trúng đầu tớ...",e_cat.dtl,62
choice,948,"이건..","Cái này là...",e_cat.dtl,63
mai,949,"이게 뭐지? 고양이 귀랑.. 꼬리? 어째서 이런 게 있는거야?","Gì thế này? Tai mèo với... đuôi? Sao lại có mấy thứ này...?",e_cat.dtl,65
choice,94a,"아까 그 고양이가 주고 간 건가?","Chắc con mèo nãy để lại?",e_cat.dtl,66
mai,94b,"응? 어째서?","Sao có thể... tại sao?",e_cat.dtl,67
choice,94c,"마이의 고민을 들었다거나..","Có lẽ nó nghe thấy cậu đang lo lắng về bản thân mình...",e_cat.dtl,68
mai,94d,"뭐? 하핫! 뭐야 그게. 그래서 이걸 쓰면 더 매력있어질거라는 건가?","...Hả? Haha! Gì vậy. Là đeo vào sẽ quyến rũ hơn hả?",e_cat.dtl,70
mai,94e,"겨우 이런 걸로 말야.. 응?","Dễ dàng vậy sao... ư?",e_cat.dtl,71
choice,94f,"...","...",e_cat.dtl,72
mai,950,"...","...",e_cat.dtl,74
mai,951,"어때?","...Sao nào?",e_cat.dtl,80
choice,952,"귀여워..","Đáng yêu...",e_cat.dtl,81
choice,953,"고양이귀는 진리야.","Tai mèo là chân lý.",e_cat.dtl,82
mai,954,"진심? 겨우 고양이 귀로? 뭐야 정말.. 그동안 잘 보이려고 고민한 나는 뭐가 되는 거야.","Thật à? Chỉ bằng tai mèo...? Cái gì vậy... bấy lâu nay tớ lo lắng để xinh hơn là để làm gì...?",e_cat.dtl,85
mai,955,"뭐, 귀엽다니 상관 없나?","...Hừ, đã dễ thương thì được chứ gì?",e_cat.dtl,87
mai,956,"그런데 이 꼬리는 어떻게 쓰는 거지? 끝에 구슬 같은 거만 달렸는데.","Nhưng làm cách nào để sử dụng cái đuôi này? Nó chỉ có thứ bóng này ở cuối.",e_cat.dtl,88
choice,957,"그건 아마..","Đó có lẽ là...",e_cat.dtl,89
choice,958,"엉덩이 안에 넣는..","...thứ gì đó cậu nhét vào trong mông mình...",e_cat.dtl,90
mai,959,"에엣?! 엉덩이 안에.. 이 구슬을 집어 넣으라고?","Cái gì cơ?! Anh muốn tôi đeo... những hạt này vào mông tôi à?!",e_cat.dtl,92
mai,95a,"마.. 말로만 듣던.. 애널 비즈구나! 이건 쉽지 않은데..","Đó... đồ nghe đồn... bi hậu môn! Cái này không dễ đâu...",e_cat.dtl,93
choice,95b,"보.. 보고 싶어.","M-muốn xem.",e_cat.dtl,94
choice,95c,"완전판 고양이 마이.","Mai mèo hoàn thể.",e_cat.dtl,95
mai,95d,"엣.. 엄청 발기했네..","...Uầy... cương cứng hết rồi kìa...",e_cat.dtl,97
mai,95e,"..꿀꺽..","...Nuốt nước bọt...",e_cat.dtl,98
mai,95f,"처음이지만.. 자.. 잠시 기다려봐. 뒤.. 뒤돌아 있어! 절대 보지 마.","Lần đầu nhưng... ch-chờ chút. Quay... quay lưng lại đi! Tuyệt đối đừng nhìn.",e_cat.dtl,99
mai,960,"여.. 여기에 이걸..","O-Được rồi... bắt đầu nào...",e_cat.dtl,102
mai,961,"으.. 으읏! 아앙..","Ự... ư ư! A ưn...",e_cat.dtl,103
mai,962,"하아..하아.. ..응, 이제 봐도 돼.","Haa... haa......Được rồi, giờ cậu có thể nhìn rồi.",e_cat.dtl,104
mai,963,"...","...",e_cat.dtl,107
mai,964,"..야옹.","...Meo.",e_cat.dtl,108
mai,965,"돼..됐지? 이제 맘에 들어? 히.. 힘이 빠져서 이런 자세가 돼 버렸지만..","X-xong rồi đấy? Hài lòng chưa?... Ừm... hết lực nên ra dáng vậy thôi...",e_cat.dtl,109
mai,966,"뭔가 새로운 것에 눈을 뜰 거 같아.. 좀 부끄럽기도 하고..","Tôi cảm thấy như mình đang thức tỉnh với một điều gì đó mới mẻ... Tuy nhiên, điều đó hơi xấu hổ...",e_cat.dtl,110
choice,967,"마이..","Mai...",e_cat.dtl,111
choice,968,"부탁이 있어.","Có chuyện muốn nhờ.",e_cat.dtl,112
mai,969,"뭐, 뭔데?","G-gì?",e_cat.dtl,113
mai,96a,"...애.. 애널로 하고 싶다고?","...L-làm hậu môn hả?",e_cat.dtl,114
mai,96b,"기껏 이렇게 끼워 놨는데?! ..정말..","Sau khi tôi đã trải qua tất cả những rắc rối khi đưa cái này vào?!...Nghiêm túc...",e_cat.dtl,115
mai,96c,"그치만.. 나도 궁금하긴 하네. 뒤는 처음이니까..","Nhưng... tôi cũng khá tò mò. Đây sẽ là lần đầu tiên tôi trở lại đó...",e_cat.dtl,116
mai,96d,"아.. 알았어. 대신 상냥하게 해야 한다?","F-Ổn thôi. Nhưng cậu phải nhẹ nhàng, hiểu không?",e_cat.dtl,117
mai,96e,"으읏.. 오옷..","Ng... Ồ...",e_cat.dtl,123
mai,96f,"뭐야.. 뭐야 이거..","Gì... gì thế này...",e_cat.dtl,124
mai,970,"보지랑은 완전 다른 기분이잖아..","Cảm giác nó hoàn toàn khác với âm hộ của tôi...",e_cat.dtl,125
mai,971,"너.. 너도 좋았다고? ..응, 그런 거 같았어.","C-cậu cũng sướng hả?... Ừ, cảm giác thế rồi.",e_cat.dtl,126
mai,972,"평소보다 엄청나게 커져 있었으니까.","Vì cậu đã lớn hơn bình thường rất nhiều.",e_cat.dtl,127
mai,973,"그리고 어째선지 평소보다 훨씬 부끄러운 거 있지.","Mà lạ hơn mọi khi nhiều, ngượng chết đi được.",e_cat.dtl,128
choice,974,"원래 모습과는 다른 부끄럼 많은 마이였어.","Đây là một khía cạnh của Mai mà tôi chưa từng thấy - rụt rè và dễ bị tổn thương, không giống con người thường ngày của cô ấy.",e_cat.dtl,129
mai,975,"그.. 그만! 엉덩이로 하는 거나 고양이 귀나 처음이었단 말야.","T... thôi đi! Làm hậu môn và cat ear đều là lần đầu hết đấy...!",e_cat.dtl,130
choice,976,"평소에도 고양이 귀랑 꼬리 해주면 안돼?","...Hay là đeo tai mèo và đuôi luôn đi?",e_cat.dtl,131
mai,977,"안돼! 레이나 앞에서 이런 모습을 보일 순 없어..","Không! Trước mặt Reina-chan mặc vầy không được...",e_cat.dtl,132
mai,978,"..하지만 둘뿐이라면 ..생각해 볼게.","...Nhưng nếu chỉ có hai chúng ta...tôi sẽ nghĩ về điều đó.",e_cat.dtl,133
mai,9de,"톡..토톡..","Cạch... cạch cạch...",e_fella.dtl,3
narration,9df,"마이가 두 엄지로 타자를 치고 있다. 무척 현란하고 빠르게 움직인다.","Cô ấy đang gõ phím bằng cả hai ngón tay cái. Những ngón tay của cô di chuyển với tốc độ chóng mặt.",e_fella.dtl,4
choice,9e0,"타자 속도.. 엄청 빠르네.","...Đó là tốc độ gõ nhanh điên cuồng.",e_fella.dtl,5
mai,9e1,"응? 그런가..","Hửm? Cậu nghĩ vậy...?",e_fella.dtl,6
mai,9e2,"내 주변 친구들은 다 이정도 속도는 기본인 걸.","Tất cả cậu bè của tôi ít nhất cũng có thể gõ nhanh như thế này, cậu biết đấy.",e_fella.dtl,7
mai,9e3,"소문으로는, 어떤 사람은 말하는 속도보다 메세지를 빨리 보낼 수 있대. 대단하지 않아?","Nghe đồn có người nhắn tin nhanh hơn nói đó. Kinh không?",e_fella.dtl,8
mai,9e4,"나는 그 정도는 아니니까.. 평범한 거지.","Tớ không tới mức đó... thường thôi.",e_fella.dtl,10
choice,9e5,"나도 키보드라면 자신 있는데.","Tớ cũng tự tin gõ phím lắm đó...",e_fella.dtl,11
mai,9e6,"컴퓨터 말이지? 와아.. 난 컴퓨터 무지 약해.","Ý cậu là máy tính? Wow... Tôi cực kỳ tệ với máy tính.",e_fella.dtl,13
mai,9e7,"키보드는 특히 더하다니까? 어떻게 열손가락으로 글을 쓸 수 있는지 정말 신기해.","Bàn phím thì tớ chịu. Mười ngón đánh chữ kiểu gì vậy trời.",e_fella.dtl,14
choice,9e8,"보통 키보드 속도가 더 빠르지 않아?","Tuy nhiên, bàn phím thường nhanh hơn phải không?",e_fella.dtl,15
mai,9e9,"그래? 난 컴퓨터는 잘 안하다 보니.. 대부분 핸드폰으로 할 수 있어. 오래 앉아있지 못하는 성격이기도 하고.","Thế á? Tớ thì chẳng mấy khi đụng tới máy tính... Chỉ dùng điện thoại là đủ rồi. Chắc một phần cũng do cái tính tớ không ngồi yên một chỗ lâu được.",e_fella.dtl,16
mai,9ea,"너는 완전 컴퓨터 파? 이런 건 완전 반대구나.","Cậu thuộc phái PC hả? Chỗ này trái ngược nhau nhỉ.",e_fella.dtl,17
mai,9eb,"컴퓨터는 들고 다닐 수 없잖아. 밖에서 심심할 때는?","Mà PC đâu có mang theo được. Ra ngoài rảnh thì làm gì?",e_fella.dtl,19
choice,9ec,"..애초에 집 밖으로 나가지 않으니까.","…Ngay từ đầu tôi đã không thực sự đi ra ngoài.",e_fella.dtl,20
mai,9ed,"에에? 그렇구나.. 무척 심심하겠네..","Ể~ Vậy hả?... Trông siêu rảnh luôn...",e_fella.dtl,21
mai,9ee,"전철에선 폰으로 인터넷도 자유롭게 할 수 있어서 좋아.","Trên tàu dùng điện thoại lướt net thoải mái sướng thật.",e_fella.dtl,23
mai,9ef,"특히 매일 왔다갔다 하면서 시간을 알차게 쓸 수 있거든.","Nhất là đi hàng ngày thì tận dụng thời gian tốt.",e_fella.dtl,24
mai,9f0,"전철 인터넷은 속도도 빨라. 이것 봐. 잘 터지지?","Tốc độ mạng trên tàu gần đây cũng siêu nhanh. Xem nè. Kết nối tốt ha?",e_fella.dtl,25
choice,9f1,"..뭐?","...Cái gì?",e_fella.dtl,26
choice,9f2,"통신.. 먹통 아니었어?","Tín hiệu... Không phải nó đã chết rồi sao?",e_fella.dtl,27
mai,9f3,"아니? 지금까지 친구들이랑 계속 톡하던 중이었는데.","Hả? Nãy giờ tớ chat với cậu mà.",e_fella.dtl,28
choice,9f4,"...그렇다면.","...Nếu quả đúng là như vậy.",e_fella.dtl,29
choice,9f5,"그걸로 구조 요청을 보내면 되지 않을까?","Cậu không thể sử dụng nó để gửi yêu cầu giải cứu sao?",e_fella.dtl,30
mai,9f6,"...","...",e_fella.dtl,31
mai,9f7,"아!!","A!",e_fella.dtl,34
mai,9f8,"어째서 그런 생각을 못했지..","Sao mình không nghĩ ra nhỉ...",e_fella.dtl,35
mai,9f9,"하, 하지만 아직 위급 상황은 아니랄까.. 더 어두워지고 버틸 수 없어지면 그때 보내볼까 해서..","N-nhưng chưa tới mức khẩn cấp... tối hơn nữa không chịu nổi thì lúc đó gửi cũng được mà...",e_fella.dtl,37
mai,9fa,"어 어쨌든! 지금 상황을 알려줘 볼게. 분명 구하러 올 거야.","D-dù sao! Để tớ báo tình hình xem sao. Chắc chắn có người tới cứu!",e_fella.dtl,38
narration,9fb,"마이가 엄청난 속도로 이곳 저곳 메시지를 보낸다.","Mai gửi tin với tốc độ kinh hoàng khắp nơi.",e_fella.dtl,39
narration,9fc,"수십 분 후. 망연자실한 표정으로 나에게 다가온다","Vài chục phút sau, cô ấy quay lại phía tôi, trông hoàn toàn sốc.",e_fella.dtl,41
mai,9fd,"이상해..","Lạ thật...",e_fella.dtl,42
mai,9fe,"정말 이상해.","Thiệt tình lạ hết sức.",e_fella.dtl,43
mai,9ff,"분명 친구랑 엄마에게 도와달라고 보냈어. 답장도 바로 오고 통신도 양호해. 문제는 답장이 말이야..","Tớ đã nhắn 'cứu' cho cậu và mẹ đó. Trả lời liền, mạng ổn. Vấn đề là nội dung trả lời...",e_fella.dtl,44
mai,a00,"전혀 엉뚱한 내용으로 답을 보내왔어.","Trả lời toàn sai bét hết.",e_fella.dtl,45
mai,a01,"친구한테서는 ""신상 무좀약이 입고됐으니 사러 가자고? 마이가 원한다면.."" 이라고..","Cậu tôi nói: ""Một loại kem bôi chân dành cho vận động viên mới về, cậu có muốn mua một ít không? Nếu đó là thứ cậu muốn, Mai...?""",e_fella.dtl,46
mai,a02,"엄마한테선 ""사슴을 애완동물로 기르고 싶다니, 그건 좀.."" 이라고 답장왔어.","Mẹ tớ trả lời 'nuôi hươu làm thú cưng hả, hơi...'",e_fella.dtl,47
mai,a03,"이게 무슨 뜻이야! 아무래도 이곳과 관련된 메세지를 보내면 전혀 엉뚱한 내용으로 발송되는 거 같아.","Là sao cơ chứ?! ...Hình như hễ gửi tin nhắn nào liên quan đến chuyến tàu này là nội dung sẽ bị biến đổi thành một kiểu hoàn toàn khác thì phải...?",e_fella.dtl,49
choice,a04,"역시.. 무언가 방해가 있구나.","Quả nhiên... bị thứ gì đó cản trở.",e_fella.dtl,50
mai,a05,"어쩔 수 없지. 최대한 우리 힘으로 탈출하는 수 밖엔.","Hết cách rồi nhỉ. Xem ra tụi mình chỉ còn nước tự lực cánh sinh thoát khỏi đây thôi.",e_fella.dtl,52
choice,a06,"당분간은 코니알의 요청을 따르는 것 외에는.","Hiện tại, chúng tôi không có nhiều lựa chọn ngoài việc làm theo yêu cầu của Konial.",e_fella.dtl,53
choice,a07,"뾰족한 수가 없겠어.","Không có cách nào khác để thoát khỏi điều này.",e_fella.dtl,54
mai,a08,"그러게. 아직까지 힘든 건 없지만 말이야.","Phải ha. Mà hiện tại chưa tới mức khổ... tớ còn có điện thoại mà.",e_fella.dtl,55
mai,a09,"너는.. 이상현상을 찾는 거 외에는 딱히 할만한 게 없는 거네. 탈출할 때 까진..","Cậu... thực sự không có việc gì để làm ngoài việc tìm kiếm những điều bất thường, phải không? Cho đến khi chúng ta trốn thoát, ý tôi là...",e_fella.dtl,58
choice,a0a,"나? 나는 딱히..","Tôi? Không hẳn...",e_fella.dtl,59
narration,a0b,"솔직히 말하면 마이의 출렁거리는 가슴과 엉덩이를 보면 시간이 지나는 것도 모르겠다.","Thành thật mà nói, nhìn bộ ngực và mông của cô ấy nảy lên khiến tôi mất hết thời gian.",e_fella.dtl,60
narration,a0c,"오히려 전차에서 나가고 싶지 않달까..","Tại thời điểm này, tôi thậm chí không chắc mình muốn rời khỏi chuyến tàu này...",e_fella.dtl,61
mai,a0d,"정말 안타깝잖아. 이런 때일수록 취미를 통해 정신건강을 챙겨야 한다고 했어.","Điều đó thật đáng buồn, cậu biết không? Người ta nói những lúc như thế này chính là lúc cậu cần những sở thích để chăm sóc sức khỏe tinh thần của mình.",e_fella.dtl,62
mai,a0e,"..응! 좋아. 이렇게 나만 즐길 수는 없지.","...Ừ, được! Không thể chỉ mỗi tớ sướng được!",e_fella.dtl,64
mai,a0f,"적어도 내가 폰을 하는 동안에는.. 내 입 쓸래?","Trong lúc tớ lướt điện thoại... miệng tớ muốn dùng không?",e_fella.dtl,65
