key,en,jp,ko,zh,cn
<!MissingKey:471:I can feel the heat radiating from it just being close...>,I can feel the heat radiating from it just being close...,近くにいるだけで…熱気が…伝わってくるみたいです…,가까이만 있어도 뜨거운 열기가 느껴져요..,光是靠近就能感受到灼熱的氣息……,光是靠近就能感受到灼热的气息……
,,,,,
<!MissingKey:473:Nothing for now.>,Nothing for now.,用はない,용건은 없다.,沒什麼事,没什么事
<!MissingKey:474:I can't move.>,I can't move.,動けないんだ。,움직일 수가 없어.,動不了了。,动不了了。
<!MissingKey:475:...>,...,…,...,……,……
<!MissingKey:476:...Why are you hesitating?>,...Why are you hesitating?,…何を、ためらっているんですか？,"..어째서, 머뭇거리시는 거죠?",……為、為什麼，要猶豫呢？,……为、为什么，要犹豫呢？
<!MissingKey:477:...>,...,……,...,……,……
<!MissingKey:478:That explains it... Fewer passengers means noticeably fewer recent lost items.>,That explains it... Fewer passengers means noticeably fewer recent lost items.,なるほどね～…乗客が減ったから、最近の遺失物はその数自体が少なくなってるってわけね。,어쩐지.. 승객의 발길이 줄어드니까 최근의 분실물은 눈에 띄게 적어진거야.,難怪……乘客減少了，最近的遺失物也明顯變少了嘛。,难怪……乘客减少了，最近的遗失物也明显变少了嘛。
,,,,,
<!MissingKey:480:...That's the final condition for sending everyone back.>,...That's the final condition for sending everyone back.,…それが、皆を帰すための最後の条件だ。,"..그게 모두를 돌려보내기 위한, 마지막 조건이야.",……這是送大家回去的，最後一個條件。,……这是送大家回去的，最后一个条件。
<!MissingKey:481:...Pazuzu did? Why? You said you didn't even know her name.>,...Pazuzu did? Why? You said you didn't even know her name.,……パズズが？なんで？名前も知らなかったんでしょ？,..파주주가? 어째서? 이름도 몰랐다며.,……是帕祖祖嗎？為什麼？妳不是說連名字都不知道嗎？,……是帕祖祖吗？为什么？妳不是说连名字都不知道吗？
"<!MissingKey:482:Just like when I first met you, Mai.>","Just like when I first met you, Mai.",舞と初めて会った時みたいに。,마이와 처음 만났던 것처럼.,就像當初和舞第一次見面一樣。,就像当初和舞第一次见面一样。
<!MissingKey:483:That we need to collect ten million tickets...>,That we need to collect ten million tickets...,1000万枚ものチケットが必要ということも…,1000만 장이라는 갯수의 티켓을 모아야 한다는 것도..,要收集一千萬張票券這個實在是……,要收集一千万张票券这个实在是……
<!MissingKey:484:Come to think of it...>,Come to think of it...,そういえば…,그러고 보니..,說起來……,说起来……
"<!MissingKey:485:Oh, s-sorry... But it's not like it would open, so cut me some slack. Hehe... Anyway, the sound came from ""outside"" the door I was leaning on, you know?>","Oh, s-sorry... But it's not like it would open, so cut me some slack. Hehe... Anyway, the sound came from ""outside"" the door I was leaning on, you know?",あっ、ご、ごめん……でもまぁ、開きそうにも無いし、大目に見てよ。へへ……とにかく、寄りかかってたドアの『外』から確かに声が聞こえてきたんだよね。,"앗, 미 미안.. 그치만 열릴 리 없으니 봐줘. 헤헤.. 아무튼 기댄 문 '밖'에서 소리가 들려 온 거 있지?",啊，對、對不起……不過反正也打不開嘛，就別計較啦！嘿嘿……總之呢，聲音是從門的「另外一邊」傳來的喔。,啊，对、对不起……不过反正也打不开嘛，就别计较啦！嘿嘿……总之呢，声音是从门的「另外一边」传来的喔。
"<!MissingKey:486:That method you used to find me all this time. It's inside this Sacred Relic, isn't it?>","That method you used to find me all this time. It's inside this Sacred Relic, isn't it?",我を見つけた方法のことだ。この聖遺物の中にあるんだろう？,그동안 나를 찾은 방법 말이야. 이 성물 안에 있지?,妳這段時間追蹤我的方法……就藏在這個聖物裡面對吧？,妳这段时间追踪我的方法……就藏在这个圣物里面对吧？
"<!MissingKey:487:S-so... um, th-that means... what we are about to do is...>","S-so... um, th-that means... what we are about to do is...",そ……それでその……これからすることは……,그.. 그 그래서.. 이제부터 할 건..,那、那……所以……接下來要做的是……,那、那……所以……接下来要做的是……
<!MissingKey:488:Like unwrapping a present... Once you tear through the stockings... You can have all of me however you want.>,Like unwrapping a present... Once you tear through the stockings... You can have all of me however you want.,包装破くみたいに、ストッキング破いたら、好きなだけ味わっていいから,포장을 뜯는 것처럼.. 스타킹을 찢은 후엔.. 원하는 대로 마음껏 맛봐도 되니까.,就像拆包裝一樣……撕開絲襪之後……就隨你高興盡情享用吧。,就像拆包装一样……撕开丝袜之后……就随你高兴尽情享用吧。
,,,,,
<!MissingKey:490:...This isn't enough to know... about Lamashtu...>,...This isn't enough to know... about Lamashtu...,…この程度じゃ…わからないんですよ…ラマシュトゥのことが…,..... 이 정도로는 알 수 없다고요.. 라마슈투에 대해..,……只有這點怎麼夠……關於拉瑪什圖的事……,……只有这点怎么够……关于拉玛什图的事……
"<!MissingKey:491:Here, real breasts. What do you think?>","Here, real breasts. What do you think?",ほーら、本物のおっぱいだよ～,"자, 진짜 가슴이야. 어때?",來，這是貨真價實的胸部喔，感覺怎麼樣？,来，这是货真价实的胸部喔，感觉怎么样？
<!MissingKey:492:Reina>,Reina,怜奈,레이나,怜奈,怜奈
<!MissingKey:493:To help us escape...>,To help us escape...,僕たちを脱出させるために…,우리를 탈출시키기 위해..,為了讓我們逃出去……,为了让我们逃出去……
,,,,,
"<!MissingKey:495:...This is everything you did alone, for ten years, right after going to the past.>","...This is everything you did alone, for ten years, right after going to the past.",…これが全部、過去に戻ってからの10年間…あなた一人でやってこられたことなんですね。,..이게 모두 과거로 간 직후 10년 동안.. 당신 혼자서 해 온 거군요.,……這一切，都是回到過去後的十年間……您一個人完成的啊。,……这一切，都是回到过去后的十年间……您一个人完成的啊。
"<!MissingKey:496:Each time I slam my cock into her harder, her butt jiggles obscenely. The recoil sends her huge breasts swaying, hiding and revealing her face over and over.>","Each time I slam my cock into her harder, her butt jiggles obscenely. The recoil sends her huge breasts swaying, hiding and revealing her face over and over.",より激しくちんぽを打ち付けるたびに、舞の尻肉がいやらしく波打つ。その衝撃で大きなおっぱいも揺れ、顔が見え隠れを繰り返す。,더욱 강하게 자지를 박아댈 때마다 마이의 엉덩이는 천박하게 출렁인다. 그 반동으로 커다란 젖이 흔들리며 얼굴이 가려졌다 보이길 반복한다.,每次更用力地頂入，舞的屁股就淫蕩地晃動著，反作用力讓她碩大的奶子跟著搖擺，時而遮住、時而露出她的臉。,每次更用力地顶入，舞的屁股就淫荡地晃动着，反作用力让她硕大的奶子跟着摇摆，时而遮住、时而露出她的脸。
"<!MissingKey:497:Oh, speaking of which... There was a condition she mentioned when she told only you about her plan, wasn't there?>","Oh, speaking of which... There was a condition she mentioned when she told only you about her plan, wasn't there?",あ、そういえば…彼女があなたにだけ計画を教えた時、条件があったんですよね？,"아, 그러고보니.. 그녀가 당신에게만 계획을 알려 줄 때 말한 조건이 있었죠?",啊，說起來……她當初只告訴妳計劃的時候，有提過什麼條件對吧？,啊，说起来……她当初只告诉妳计划的时候，有提过什么条件对吧？
<!MissingKey:498:>,,,hide,,
"<!MissingKey:499:Terminals, right? They said there were several besides the warehouse?>","Terminals, right? They said there were several besides the warehouse?",…終点って言ってたっけ？倉庫以外にも色々あるって言ってたよね？,종착점 이라고 했나? 창고 외에도 여러개 존재한다고 했지?,終點站是吧？好像說除了倉庫之外還有好幾個？,终点站是吧？好像说除了仓库之外还有好几个？
"<!MissingKey:500:I stole the Forbidden Relic, hid it in your manor's storehouse to frame you, lived as a wanderer... all until you finally committed a crime this big.>","I stole the Forbidden Relic, hid it in your manor's storehouse to frame you, lived as a wanderer... all until you finally committed a crime this big.",禁じられた聖遺物を盗んで、あなたの屋敷の倉庫に隠し、濡れ衣を着せ…放浪生活を送るあなたが、いつかこんな大事件を起こすのを待っていたわ…！,"금지된 성물을 훔쳐 네 저택 창고에 숨겨 누명을 씌우고, 떠돌이 생활을 하며 이런 큰 사건을 벌일 때까지 말이야.",偷走禁忌聖物藏在妳宅邸的倉庫裡，嫁禍給妳，過著流浪的生活，直到妳搞出這麼大的事件為止。,偷走禁忌圣物藏在妳宅邸的仓库里，嫁祸给妳，过着流浪的生活，直到妳搞出这么大的事件为止。
<!MissingKey:501:Konial.>,Konial.,コニアル。,코니알.,柯尼亞爾。,柯尼亚尔。
<!MissingKey:502:I... I beg your pardon? Wrong? This is not its intended purpose? But no matter how I look at it...>,I... I beg your pardon? Wrong? This is not its intended purpose? But no matter how I look at it...,え…えっ？違うのですか？これはそのような用途ではないと？ですが、どう見ても…,네.. 네? 틀리다고요? 이건 그런 용도가 아닌 것입니까? 그치만 이건 아무리 봐도..,呃……呃？您說不對？這不是那種用途嗎？可是這怎麼看都是……,呃……呃？您说不对？这不是那种用途吗？可是这怎么看都是……
,,,,,
"<!MissingKey:504:I'm gonna go give her a piece of my mind. And... I told you, right? When you find your phone, DELETE THOSE PHOTOS!>","I'm gonna go give her a piece of my mind. And... I told you, right? When you find your phone, DELETE THOSE PHOTOS!",あたしちょっと問い詰めてくる！それと…さっき言ったことマジだかんね！？スマホ見つかったら絶対写真消すこと！,난 좀 따지고 올게. 그리고.. 분명 말했다? 폰 찾아내면 사진 반드시 지워!,我去跟她理論一下！還有……我說得很清楚了吧？找到手機一定要把照片刪掉！,我去跟她理论一下！还有……我说得很清楚了吧？找到手机一定要把照片删掉！
"<!MissingKey:505:On cold days, it is said that animals sometimes crawl into vehicles looking for warmth and cause big problems. Guess it happens a lot on this train too.>","On cold days, it is said that animals sometimes crawl into vehicles looking for warmth and cause big problems. Guess it happens a lot on this train too.",寒い季節になると、動物が暖かい場所を探して車両に潜り込んで、事故に繋がることがあるんだってさ。この電車でもそういうのあるみたい。,추운 날에는 동물들이 따듯한 곳을 찾아 차량에 숨어 들어갔다가 종종 큰일이 난다고 해. 이 전차도 자주 발생하나봐.,聽說天冷的時候，小動物會鑽進車子裡找溫暖的地方，結果常常釀成事故，這班電車好像也常發生這種事耶。,听说天冷的时候，小动物会钻进车子里找温暖的地方，结果常常酿成事故，这班电车好像也常发生这种事耶。
<!MissingKey:506:The thought that I might experience what everyone else has been doing...>,The thought that I might experience what everyone else has been doing...,わたくしも…皆様がなさっていたのと同じことを経験することになるという事実に、つい…,저도 여러분들이 하던 것과 같은 걸 경험하게 될 거란 사실에 그만..,一想到我也要體驗各位一直在做的那種事，就不禁……,一想到我也要体验各位一直在做的那种事，就不禁……
"<!MissingKey:507:And that's how we got this magnificent silhouette, huh.>","And that's how we got this magnificent silhouette, huh.",それでこんなすごい跡ができたってわけか。,덕분에 이렇게 엄청난 실루엣이 생긴 거구나.,多虧如此才留下這麼精彩的輪廓呢。,多亏如此才留下这么精彩的轮廓呢。
"<!MissingKey:508:When we get out, I'm definitely cleaning these marks off. It would be too embarrassing if anyone else saw them.>","When we get out, I'm definitely cleaning these marks off. It would be too embarrassing if anyone else saw them.",出られた時には…この跡も、綺麗に消しておかないとです…他の人に見られたら恥ずかしいですから。,나가게 되면 반드시 깨끗히 지울 거에요. 이 자국.. 남들이 보는 건 부끄러우니까.,出去之後一定要把這個痕跡擦乾淨，被別人看到的話太害羞了……,出去之后一定要把这个痕迹擦干净，被别人看到的话太害羞了……
,,,,,
"<!MissingKey:510:This spot's your weak point, right? Suck... haah...>","This spot's your weak point, right? Suck... haah...",へへ…ここが弱いんでしょ？ちゅぷ…はぁ…,이쪽이 약하지? 츄웁.. 하아..,這裡很敏感對吧？啾嗯……哈啊……,这里很敏感对吧？啾嗯……哈啊……
<!MissingKey:511:Which means...>,Which means...,ってことは…,그렇다는 건..,也就是說……,也就是说……
,,,,,
<!MissingKey:513:Hey... I don't think I can hold back anymore...>,Hey... I don't think I can hold back anymore...,ねえ…もう我慢できなさそうなんだけど…,저기. 이제 참을 수 없을 거 같아..,那個……我好像已經忍不住了……,那个……我好像已经忍不住了……
<!MissingKey:514:You said on three!>,You said on three!,3で捕まえるって言ったじゃん！,셋에 잡는다며!,不是說數到三才抓嗎！,不是说数到三才抓吗！
<!MissingKey:515:But doing it with you? I love it! It feels way better than masturbation. It's not like I'm just doing it because I can't help it 'cause of the lust.>,But doing it with you? I love it! It feels way better than masturbation. It's not like I'm just doing it because I can't help it 'cause of the lust.,でもあんたとするのは好きだよ！一人でオナるより全然気持ちいいし。別に情念のせいで仕方なくって感じで無いんだよね。,근데 너하고 하는건 좋아! 자위보다 몇배는 기분 좋거든. 딱히 정념 때문에 어쩔수 없이 하는 거 아니야.,但是跟你做我很喜歡喔，比自慰爽好幾倍耶！才不是因為情念不得已才做的。,但是跟你做我很喜欢喔，比自慰爽好几倍耶！才不是因为情念不得已才做的。
"<!MissingKey:516:Yeah, you looked totally lost. Where ya headed?>","Yeah, you looked totally lost. Where ya headed?",うん、なんか困ってそうだったから。どっか行きたいの？,"응, 곤란해 보여서. 가려는 곳이 어디야?",嗯，你看起來很困擾的樣子。要去哪裡啊？,嗯，你看起来很困扰的样子。要去哪里啊？
<!MissingKey:517:*Yawn*... What is this atmosphere? Just have sex already. What more do you need?>,*Yawn*... What is this atmosphere? Just have sex already. What more do you need?,ふわぁ…何だこの雰囲気は。いいからさっさとセックスしろ。他に何が必要なんだ？,하암.. 뭐야 이 분위기. 어서 섹스하라고. 뭐가 더 필요해?,呼哈……搞什麼氣氛啊？快給我修幹！還要怎樣？,呼哈……搞什么气氛啊？快给我修干！还要怎样？
,,,,,
<!MissingKey:519:...If... and this is just a hypothetical. If you think there might be regrets at the end. If you can make me feel even slightly inclined to help you lot... I'll consider it.>,...If... and this is just a hypothetical. If you think there might be regrets at the end. If you can make me feel even slightly inclined to help you lot... I'll consider it.,…もし…もしもの話だが、その果てに後悔が訪れたなら…我を『手を貸してやろうという気にさせてみろ』。そうすれば…少しは考えてやってもいい。,..만약 ..만약이지만. 그 끝에 후회가 있을 거 같다면. 내가 너희들을 도울 마음이 조금이라도 들게 해.. 그때는 생각해 볼게.,……如果……只是如果，你覺得那個結局會讓你後悔的話。讓我稍微產生想幫你們的念頭……到時候我會考慮一下。,……如果……只是如果，你觉得那个结局会让你后悔的话。让我稍微产生想帮你们的念头……到时候我会考虑一下。
<!MissingKey:520:I can't hold back anymore!>,I can't hold back anymore!,もう我慢できない！,더 이상은 안되겠어!,我已經忍不住了！,我已经忍不住了！
"<!MissingKey:521:I don't mind, but...>","I don't mind, but...",別にいいけど…,상관 없긴 한데..,我是無所謂啦……,我是无所谓啦……
<!MissingKey:522:Wh-what!?>,Wh-what!?,え、えぇっ！？,"네, 네엣?",咦、咦咦？,咦、咦咦？
"<!MissingKey:523:As she arches her back, her butt rises high into the air.>","As she arches her back, her butt rises high into the air.",そのまま腰を持ち上げると、お尻が高く突き上げられる。,허리를 치켜들자 엉덩이가 높이 들어올려진다.,腰一挺起，屁股就高高翹了起來。,腰一挺起，屁股就高高翘了起来。
"<!MissingKey:524:? As someone who manages our inventory, I believe knowing what items one handles is fundamental.>","? As someone who manages our inventory, I believe knowing what items one handles is fundamental.",景品を管理する立場として、自分がどのような品物を扱っているかを正しく把握しておくのは基本かと存じます。,? 상품을 관리하는 입장에서 자신이 어떤 물건을 다루고 있는지 아는 건 기본이라 생각합니다.,嗯？作為管理商品的負責人，了解自己經手的物品是什麼，鄙人認為是基本常識。,嗯？作为管理商品的负责人，了解自己经手的物品是什么，鄙人认为是基本常识。
"<!MissingKey:525:I'll follow quietly behind you this time, I promise!>","I'll follow quietly behind you this time, I promise!",今度はおとなしくついてくからさ！,이번에는 조용히 뒤따를 테니까!,這次我會乖乖跟在後面的！,这次我会乖乖跟在后面的！
<!MissingKey:526:I should pry this window off and take it home.>,I should pry this window off and take it home.,この窓ガラス、外して家に持って帰ろうかな。,유리창을 때서 집으로 가져가야겠어.,真想把這片玻璃窗拆下來帶回家。,真想把这片玻璃窗拆下来带回家。
,,,,,
<!MissingKey:528:How many times has this happened? I should have burned you along with that pile of junk back then.>,How many times has this happened? I should have burned you along with that pile of junk back then.,何度もあっただろう？こんな事が。あの時、ガラクタの山ごと燃やしておくべきだった。,몇 번이고 있었지? 이런 일. 그때 쓰레기 더미들과 같이 태워 버렸어야 했는데.,這種事有好幾次了吧？當時就該連那堆垃圾一起燒掉的。,这种事有好几次了吧？当时就该连那堆垃圾一起烧掉的。
<!MissingKey:529:I'll feel... strange... Hngh!>,I'll feel... strange... Hngh!,変な気持ちに…なっちゃいます…はぁ…んっ……！,이상한 기분.. 돼 버려요.. 흐읏!,會變得……好奇怪……嗯唔！,会变得……好奇怪……嗯唔！
<!MissingKey:530:It feels good no matter how many times..! Let's do it tons and tons..!>,It feels good no matter how many times..! Let's do it tons and tons..!,何回でもいいから…！いっぱい、いっぱいしよ…っ！,"몇 번이고 좋으니까..! 잔뜩, 잔뜩 해버리자..!",好幾次都好舒服……！盡情地、盡情地做吧……！,好几次都好舒服……！尽情地、尽情地做吧……！
"<!MissingKey:531:Between those, I'd pick a dog! They're super energetic and you can take them on walks!>","Between those, I'd pick a dog! They're super energetic and you can take them on walks!",どちらかってなら、あたしは犬の方が好き！テンション高くて活発だし、一緒に散歩もいっぱいできるし！,그중에는 강아지가 더 좋아! 활발하고 산책도 자주 할 수 있고!,其中我更喜歡狗狗！又活潑又可以常常去散步！,其中我更喜欢狗狗！又活泼又可以常常去散步！
,,,,,
<!MissingKey:533:All that's left... is to capture Lamashtu.>,All that's left... is to capture Lamashtu.,あとは…ラマシュトゥを捕まえるだけです…,남은 건.. 라마슈투를 붙잡는 것 뿐이에요..,剩下的……就只有抓住拉瑪什圖了……,剩下的……就只有抓住拉玛什图了……
<!MissingKey:534:It puts my heart so at ease. More than any scenery...>,It puts my heart so at ease. More than any scenery...,心がすごく落ち着くんです…どんな景色よりも…,마음이 엄청 편해지거든요. 어떤 풍경보다..,因為這樣心情會變得特別平靜……比任何風景都讓我安心……,因为这样心情会变得特别平静……比任何风景都让我安心……
<!MissingKey:535:...I knew it. They can't be unrelated after all.>,...I knew it. They can't be unrelated after all.,…やっぱり、無関係じゃなかったんですね。,"...역시, 아무 관련이 없는 게 아니었어요.",……果然，不是毫無關聯的呢。,……果然，不是毫无关联的呢。
"<!MissingKey:536:L-let's head back, shall we?>","L-let's head back, shall we?",は、早く戻りましょう…！,어..어서 돌아가시죠.,快、快點回去吧。,快、快点回去吧。
<!MissingKey:537:I don't understand what you're saying...>,I don't understand what you're saying...,何を言ってるのか、分からない…,무슨 소린지 모르겠어..,完全不懂妳在說什麼……,完全不懂妳在说什么……
<!MissingKey:538:...>,...,…,...,……,……
<!MissingKey:539:Mmm... This is troublesome. I've never seen you be this stubborn before.>,Mmm... This is troublesome. I've never seen you be this stubborn before.,うーん…困りましたね。こんなに我儘な姿は初めてです…,으음.. 곤란하네요. 이렇게 고집하는 모습은 처음이에요.,唔嗯……真傷腦筋。您這麼堅持還是第一次呢。,唔嗯……真伤脑筋。您这么坚持还是第一次呢。
<!MissingKey:540:So I gave up and was heading back. And then I went and got on the wrong train on top of that. Ahaha!>,So I gave up and was heading back. And then I went and got on the wrong train on top of that. Ahaha!,しょうがないから諦めて帰るとこだったのよ。そしたら電車まで乗り間違えちゃってさ。あっはっは！,그래서 포기하고 돌아가는 길이었어. 그 와중에 전철은 또 잘못 타 버렸네. 하핫!,所以我就放棄準備回家了，結果又搭錯電車了說～哈哈！,所以我就放弃准备回家了，结果又搭错电车了说～哈哈！
<!MissingKey:541:Miss Mai...>,Miss Mai...,舞さん…,마이 씨..,舞小姐……,舞小姐……
,,,,,
,,,,,
,,,,,
<!MissingKey:545:...>,...,……,....,……,……
"<!MissingKey:546:Usually keyboards are faster though, aren't they?>","Usually keyboards are faster though, aren't they?",でも、だからこそキーボードの方が速くない…？,보통 키보드 속도가 더 빠르지 않아?,一般不是鍵盤打字比較快嗎？,一般不是键盘打字比较快吗？
<!MissingKey:547:Here either...>,Here either...,ここも…,여기도..,這邊也是……,这边也是……
,,,,,
,,,,,
"<!MissingKey:550:Well, being able to relax isn't a bad thing.>","Well, being able to relax isn't a bad thing.",緊張しなくなってきたのは良いことでもあるかも…だけど。,긴장이 풀린다는 건 좋지만.,能放鬆下來是好事啦。,能放松下来是好事啦。
<!MissingKey:551:Overwhelmed by the stimulation of those Busty mounds—too big for my hands to contain—so much blood had rushed to my cock that it had already swollen to its absolute limit.>,Overwhelmed by the stimulation of those Busty mounds—too big for my hands to contain—so much blood had rushed to my cock that it had already swollen to its absolute limit.,片手では収まりきらないほどの巨乳の感触を堪能している内に、僕のチンポははち切れんばかりに膨れ上がっていた。,손에 다 잡히지 않을 정도의 거유의 자극을 느끼느라 자지에 쏠리는 혈액이 한도에 달해 커질대로 커져 있었다.,感受著那雙手都握不住的巨乳的刺激，湧向肉棒的血液已經到達極限，脹到不能再脹了。,感受着那双手都握不住的巨乳的刺激，涌向肉棒的血液已经到达极限，胀到不能再胀了。
"<!MissingKey:552:Lately, the pace of our Exploration has...>","Lately, the pace of our Exploration has...",最近、探索のペースが…,요즘 들어 탐색 페이스가..,最近的探索節奏……,最近的探索节奏……
"<!MissingKey:553:This, mmm, tastes kinda familiar... Actually, it's not that bad?>","This, mmm, tastes kinda familiar... Actually, it's not that bad?",これ、んん、なんか覚えがあるっていうか……意外と悪くないかも…？,"이거, 음음, 뭔가 익숙한데.. 어쩐지 나쁘지 않네 이거.",這個，嗯嗯，好像有點熟悉……不知為何感覺不差耶。,这个，嗯嗯，好像有点熟悉……不知为何感觉不差耶。
"<!MissingKey:554:You really love breasts that much? Well... I guess I could do it again next time. But you better not be all limp like this then, got it?>","You really love breasts that much? Well... I guess I could do it again next time. But you better not be all limp like this then, got it?",おっぱいそんな好きなん？まあ…次もやってあげられなくはないけど、だからってその度にこんなへたってたらダメだからね？,가슴이 그렇게 좋아? 뭐.. 다음에도 못해줄 건 없지만. 그때도 이렇게 축 쳐져 있으면 안 된다고.,胸部有那麼讚嗎？嗯……下次也不是不能幫你做啦，但到時候不准再這樣軟趴趴的喔。,胸部有那么赞吗？嗯……下次也不是不能帮你做啦，但到时候不准再这样软趴趴的喔。
<!MissingKey:555:We might find out if we explore the train car.>,We might find out if we explore the train car.,車両を探索してみれば、それもわかるかもしれない。,전차 칸을 탐색해보면 알 수 있을지 몰라.,探索一下車廂的話，說不定能知道些什麼。,探索一下车厢的话，说不定能知道些什么。
<!MissingKey:556:Nngh... Woof! Woof!>,Nngh... Woof! Woof!,ふぅっ…ワン！ワンワン！,끙..멍! 멍!,嗯……汪！汪！,嗯……汪！汪！
"<!MissingKey:557:My little brother can't throw anything away either. ""I might need it someday,"" he says. I always end up tossing it all out myself!>","My little brother can't throw anything away either. ""I might need it someday,"" he says. I always end up tossing it all out myself!",あたしの弟もさー、要らなくなったもの捨てられない性格なんだよね。いつか使うかもだから～とか言って。結局いつもあたしがまとめて捨てるハメになるんだけど！,내 동생도 필요 없어진 물건을 버리지 못해. 언젠가는 쓸 일이 있을거라나? 결국엔 내가 다 가져다 버리지만!,我弟也是那種捨不得丟掉廢物的人欸，說什麼總有一天會用到，結果最後都是我幫他全部丟掉！,我弟也是那种舍不得丢掉废物的人欸，说什么总有一天会用到，结果最后都是我帮他全部丢掉！
<!MissingKey:558:I'm not the only one who's been changing.>,I'm not the only one who's been changing.,少しずつ変わっていったのは、僕だけじゃなかったんだ。,점점 변해가는 것은 나뿐만이 아니었다는 걸.,逐漸產生變化的，並不只有我一個人。,逐渐产生变化的，并不只有我一个人。
<!MissingKey:559:...Thinking about back then feels weird now. It was no big deal at the time.>,...Thinking about back then feels weird now. It was no big deal at the time.,…あの時のこと思い出したら、何か変な感じ。あの時は何とも思わなかったのに。,..그때 생각을 하니까 뭔가 이상해. 그때는 아무렇지도 않았는데.,……想起那時候的事就覺得怪怪的，明明當時什麼感覺都沒有的說。,……想起那时候的事就觉得怪怪的，明明当时什么感觉都没有的说。
<!MissingKey:560:If you're messing with us...>,If you're messing with us...,ふざけてたなら…,장난을 친 거라면..,如果妳敢耍我們的話……,如果妳敢耍我们的话……
,,,,,
<!MissingKey:562:This cock still isn't satisfied? Don't tell me... I can squeeze out more? Kee-hee-hee.>,This cock still isn't satisfied? Don't tell me... I can squeeze out more? Kee-hee-hee.,まだ…このおちんぽは満足しきってないようだな…？…もっと搾れるんじゃないか？きひひっ…,"아직, 이 자지는 부족한 모양이야? 설마하니.. 더 짜낼 수 있겠는걸? 키히히.",不過，這根好像還不夠？沒想到……還能再榨出來呢？嘻嘻嘻。,不过，这根好像还不够？没想到……还能再榨出来呢？嘻嘻嘻。
<!MissingKey:563:That would take way too long...>,That would take way too long...,それだと時間がかかりすぎる気がする…,그건 너무 오래 걸릴 거 같아..,那樣太花時間了吧……,那样太花时间了吧……
"<!MissingKey:564:Why not? When you have a conductor this cute and sexy, what other creature could possibly serve as a model?>","Why not? When you have a conductor this cute and sexy, what other creature could possibly serve as a model?",なんでだ？こんなに可愛くてセクシーな車掌がいるのに、他にどんな生き物をモデルにしろと？,"어째서? 이렇게나 귀엽고 섹시한 역장이 있는데, 달리 어떤 생물을 모델로 쓴단 말이야?",為什麼？明明有這麼可愛又性感的站長在，還需要用其他生物當模特兒嗎？,为什么？明明有这么可爱又性感的站长在，还需要用其他生物当模特儿吗？
"<!MissingKey:565:Started with one or two shows, and before I knew it, I was keeping up with everything that airs these days?>","Started with one or two shows, and before I knew it, I was keeping up with everything that airs these days?",そうやって一本、二本って見てたら…いつの間にか今期の作品全部チェックするレベルになっちゃったって感じ？,그렇게 한 두편씩 보다 보니 요즘 작품들은 전부 챙겨보는 수준이 됐달까?,就這樣一部兩部地看下來，好像不知不覺就變成每季新番都要追的程度了。,就这样一部两部地看下来，好像不知不觉就变成每季新番都要追的程度了。
<!MissingKey:566:Yeah. That's strange...>,Yeah. That's strange...,そうだね。おかしいな…,그러게. 이상하네..,是啊，真奇怪……,是啊，真奇怪……
"<!MissingKey:567:Giving her what she wants, I move my hands to the peaks of her breasts and roll her stiff pink nipples between my fingers.>","Giving her what she wants, I move my hands to the peaks of her breasts and roll her stiff pink nipples between my fingers.",彼女が望むままに手をおっぱいの頂きへ移し、ピンク色に硬くなった乳首を転がした。,그녀가 원하는대로 가슴 봉우리로 손을 옮겨 분홍빛 단단한 유두를 굴린다.,依照她想要的，我將手移向她胸前的頂端，揉捏著那粉嫩挺立的乳頭。,依照她想要的，我将手移向她胸前的顶端，揉捏着那粉嫩挺立的乳头。
<!MissingKey:568:...Yeah. The door opened... Thank goodness!>,...Yeah. The door opened... Thank goodness!,…うん、ドア、開いたね…よかったぁ！,..응. 문이 열렸네..다행이다!,啊、門打開了……太好了！,啊、门打开了……太好了！
,,,,,
<!MissingKey:570:...F-found it. The cell phone.>,...F-found it. The cell phone.,……み、見つけました。スマホです。,..차.. 찾았어요. 핸드폰.,……找、找到了！手機。,……找、找到了！手机。
"<!MissingKey:571:Our pressed lips part, and she nuzzles her flushed cheek against mine, whispering softly.>","Our pressed lips part, and she nuzzles her flushed cheek against mine, whispering softly.",密着していた唇が離れ、赤く染まった頬を擦り寄せながら、彼女は小さく囁く。,"밀착한 입술이 떨어지고, 붉어진 볼을 비비며 그녀는 작게 속삭인다.",緊貼的嘴唇分開，她用泛紅的臉頰輕輕蹭過來，低聲呢喃。,紧贴的嘴唇分开，她用泛红的脸颊轻轻蹭过来，低声呢喃。
<!MissingKey:572:...Y-Your... mouth?>,...Y-Your... mouth?,…く、口…？！,...이.. 입?!,……嘴……嘴？！,……嘴……嘴？ ！
,,,,,
<!MissingKey:574:D-don't worry about me! I... I still have... strength left in my arms...>,D-don't worry about me! I... I still have... strength left in my arms...,『わ、私のことは心配しないでください！ま…まだ…手の力、残ってますから…』,'저.. 저는 걱정 마세요! 아.. 아직은.. 손 힘이 남았거든요..',不……不用擔心我！我、我還……還有力氣……,不……不用担心我！我、我还……还有力气……
