key,en,jp,vi
BOX_MAP_ITEM_2_INFO,"A slip of paper with lost item locations.
Marks train cars containing lost items from cars 21-40 on your Kankan Navi.","落とし物の位置が記された紙。
21～40号車のうち、落とし物がある車両をシャリョーナビに表示します。",Một mảnh giấy ghi chép vị trí của các món đồ thất lạc. Đánh dấu các toa tàu có chứa đồ thất lạc từ toa 21 đến toa 40 trên Bản đồ dẫn đường của bạn.
OPTION_SFX_VOLUME,Sound Effects,効果音,Hiệu ứng âm thanh
DIALOGIC_OPTION,Settings(ESC),設定(ESC),Cài đặt (ESC)
TICKET_BONUS_DESCRIPTION,Earn bonus Tickets with each successful exploration.,探索に成功する毎に、追加チケットを獲得します。,Nhận thêm Vé sau mỗi lần thám hiểm thành công.
ROUTE_TITLE_SHADOW,Shadow,影,Bóng tối
DESTINATION_HINT_CAT_TITLE,Train Inspection Report -3-,車両点検報告書 -3-,Báo cáo kiểm tra tàu -3-
ROUTE_TITLE_HUG,Embrace,抱擁,Ôm
ROUTE_TITLE_BRAILLEBLOCK,Tactile Paving,点字ブロック,Vạch chỉ dẫn nổi
SCENE_COWGIRL,Cowgirl,騎乗位,Thượng mã truy phong
SCENE_BREAST_TOUCH,Breast Fondling,胸愛撫,Thiết sa chưởng nắn bưởi
DESTINATION_HINT_STORAGE_INFO,"The butler said [color=#ADFF2F]you need to pass through cars 3, 4, and 5[/color] to reach the storage.",執事の倉庫へ行くには、[color=#ADFF2F]3番、4番、5番車両を通らなければならない[/color]と言っていた。,"Quản gia nói [color=#ADFF2F]phải đi qua các toa số 3, số 4 và số 5[/color] mới đến được kho hàng."
ROUTE_TITLE_CONDENSATION,Fogged Glass,曇り,Cửa kính mờ sương
DEST_PERCENT,Terminal,終点,Ga cuối
CHAPTER_CHANGING_FIND_ANOMALY,Detected Anomalies:,探知した異変：,Hiện tượng lạ đã phát hiện:
ROUTE_TITLE_BUNNYGIRL,Bunny Girl,バニーガール,Bunny Girl
COLA_FINDER,Fizzy Cola,ビクッとコーラ,Cola sủi bọt
VO_JP,Japanese,日本語,Tiếng Nhật
ROUTE_TITLE_TOPLESS,Topless,トップレス,Cởi trần
TUTO_KONIAL_H_2,"You cannot use Kankan Navi functions while wearing the Bracelet imbued with Pazuzu's divine power.
To use Kankan Navi, please unequip the Bracelet first.","パズズの神聖力が込められたブレスレットを装着している間は、シャリョーナビの機能を使用できません。
シャリョーナビを使用するには、先にブレスレットを外してください。","Bạn không thể sử dụng các chức năng của Bản đồ dẫn đường khi đang đeo chiếc Vòng tay mang thần lực của Pazuzu.\nĐể sử dụng Bản đồ dẫn đường, vui lòng tháo chiếc Vòng tay ra trước."
TUTO_KONIAL_H_1,"The Bracelet you received from Pazuzu allows you to transfer Lust to Konial.
Equip the Bracelet from your Inventory, and successful Anomaly detection will increase Konial's Affection.","パズズから受け取ったブレスレットを通じて、コニアルへ情念を送ることができます。
インベントリでブレスレットを装着した状態で異変の感知に成功すると、コニアルの好感度が上昇します。","Chiếc Vòng tay bạn nhận được từ Pazuzu cho phép chuyển hóa điểm Dục vọng sang cho Konial.\nHãy trang bị chiếc Vòng tay trong Túi đồ, khi thám hiểm và phát hiện Hiện tượng lạ thành công sẽ giúp tăng điểm Thiện cảm của Konial."
TAB_MOVE,◀ Q　　Switch Tab　　E ▶,◀ Q　　タブ切替　　E ▶,◀ Q　　Chuyển Tab　　E ▶
CLOSE_BUTTON,Close,閉じる,Đóng
DESTINATION_HINT_GHOST_TITLE,Train Inspection Report -2-,電車点検報告書 -2-,Báo cáo kiểm tra tàu -2-
ROUTE_TITLE_SEATEYE,Seat Eyeball,座席の目玉,Nhãn cầu trên ghế
CREDIT_UI,UI,UI,Giao diện (UI)
DESTINATION_HINT_MILK_INFO,Someone left this milk bottle behind.,誰かが捨てた牛乳瓶だ。,Một chai sữa bị ai đó bỏ lại.
OPTION_RESOLUTION,Resolution,解像度,Độ phân giải
ROUTE_TITLE_LOWSPEED,Low Speed,低速,Tốc độ chậm
ROUTE_TITLE_WINDOWGHOST,Window,窓,Cửa sổ
ROUTE_TITLE_VERTICALEXPANSION,Ad Expansion,広告拡張,Biển quảng cáo mở rộng
ROUTE_TITLE_REI_KOKYO,"Rei, Kokyo",レイ、コキョ,"Rei, Kokyo"
ROUTE_INFO_BRA,"I could have sworn it was a hand strap, but... whose might that be?",つり革かと思いましたが……あれは誰の物でしょうか……,"Cứ ngỡ là tay nắm treo, nhưng... đó là của ai vậy nhỉ..."
NOTI_SET_UNVISIT_STAGE,Unvisited Route set.,未訪問の路線が指定されました。,Đã thiết lập tuyến đường chưa thám hiểm.
ROUTE_INFO_CROW,Sometimes it's nice to just relax and look out the window...,時には窓の外を眺めて、リラックスなさるのも……,Đôi khi chỉ cần thư giãn và ngắm nhìn ra ngoài cửa sổ...
ROUTE_INFO_REVERSE,"You didn't happen to feel any motion sickness, did you?",乗り物酔いなどございませんでしたか？,Bạn có cảm thấy bị chóng mặt hay say tàu không?
YES,Yes,はい,Có
ROUTE_INFO_EXITAD,The advertisement above the Door window seemed rather... off.,ドアの窓上の広告、様子がおかしかったようでございます。,Biển quảng cáo phía trên ô cửa ra vào có vẻ... hơi bất thường.
DESTINATION_HINT_HANDFAN_INFO,"A tattered, worn-out fan.
It has a local event promotion printed on it.
([color=#ADFF2F]From the 18th to 21st[/color]! Visit all 4 days to receive a special prize!)
""When are they ever going to fix the AC in this car?""
""Probably never? Last time I complained, they just gave me this lousy fan.""","破れてボロボロになったうちわ。
地域イベントの宣伝文句が書かれている。
（[color=#ADFF2F]18日から21日まで[/color]！全4日間訪問頂いた方には特別な景品を贈呈いたします！）
『この車両のエアコン、いつ直るの？』
『一生直らないんじゃないか？この前文句を言ったら、このうちわ一枚だけ渡されたんだぜ？』","Một chiếc quạt rách nát tả tơi.\nTrên đó có in dòng chữ quảng cáo cho một sự kiện địa phương.\n([color=#ADFF2F]Từ ngày 18 đến ngày 21[/color]! Ghé thăm cả 4 ngày để nhận phần quà đặc biệt!)\n""Khi nào họ mới chịu sửa điều hòa ở toa này thế?""\n""Chắc là không bao giờ đâu. Lần trước tôi đi khiếu nại, họ chỉ đưa cho mỗi chiếc quạt rách này thôi đấy."""
ROUTE_TITLE_VIBRATOR,Vibrator,ローター,Trứng rung
BOX_MAP_ITEM_2_TITLE,Lost Item Location Hint -2-,落とし物位置のヒント -2-,Gợi ý vị trí đồ thất lạc -2-
ROUTE_TITLE_ACCELERATION,Speed Up,加速,Tăng tốc
HINT_ITEM_WITH_REINA,"A hint that may lead you to a certain Terminal.
Reina seems like she might be interested.","どこかの終着点へと移動できるヒント。
怜奈が興味を持ちそうだ。",Một gợi ý có thể dẫn bạn đến ga cuối nào đó.\nCó vẻ Reina sẽ hứng thú với thứ này đấy.
TIME_LIMITER_DESCRIPTION,Earn bonus Tickets if you successfully detect within the time limit.,制限時間内に探知に成功すると、ボーナスチケットを獲得します。,Nhận thêm Vé nếu thám hiểm và phát hiện thành công trong giới hạn thời gian.
ROUTE_INFO_WATCHER,I think there was someone outside the door just now...,ドアの外に、誰かいたように思われます…,Tôi nghĩ vừa nãy có ai đó ở ngoài cửa...
ROUTE_COIN_DESCRIPTION,"A commemorative coin for Train 45's 10th anniversary.
Can unlock unvisited cars in Kankan Navi.","45番電車の10周年記念硬貨。
シャリョーナビで未訪問の車両を解禁できます。",Đồng xu kỷ niệm 10 năm của tuyến tàu số 45.\nCó thể dùng để mở khóa các toa tàu chưa thám hiểm trên Bản đồ dẫn đường.
HORIZON_FINDER,Coffee-Colored Stockings,コーヒー色のストッキング,Quần tất màu cà phê
INVENTORY_DESCRIPTION,You can equip items you've obtained.,獲得した景品を装着できます。,Bạn có thể trang bị các vật phẩm đã nhận được.
TUTO_FIND_1,"This is the ""starting point"".
Remember the scenery here, then pass through the right corridor and detect differences in the car you arrive at.","ここは『開始地点』です。
この場所の光景・状態をよく記憶した後、右側の通路を通って到着した先の車両にて、開始地点との違い…即ち『異変』を見つけ出す必要があります。","Đây là ""điểm xuất phát"".\nHãy ghi nhớ kỹ cảnh vật ở đây, sau đó đi qua lối đi bên phải và phát hiện xem toa tàu tiếp theo có điểm gì khác biệt hay không."
TUTO_FIND_2,"If there are no Anomalies present, simply proceed to the next car.
Some cars contain undetectable Anomalies that you must escape from. In these cars, the screen display will change.","異変が存在しないと判断した場合は、そのまま次の車両へ進んでください。
中には、異変を探すのではなく、迫りくる危険な異変から逃げなければならない車両も存在します。そうした車両では、スクリーンの表示が変化します。","Nếu bạn phán đoán toa tiếp theo không có hiện tượng lạ nào, hãy tiếp tục đi sang toa kế tiếp.\nNgoài ra, có những toa chứa hiện tượng lạ mà bạn không thể phát hiện bằng cách thông thường mà phải trốn chạy khỏi chúng. Ở những toa này, màn hình hiển thị sẽ có sự thay đổi."
TUTO_FIND_3,"Incorrectly detecting an Anomaly or moving to the next car without detecting one results in failure, sending you back to the starting point.
Reach the goal car without any failures to clear the stage.","異変の有無を間違えたり、異変を見逃して次の車両へ進んだ場合は失敗となり、開始地点に戻されます。
失敗せずに目標の車両へ到達すればクリアです。","Phán đoán sai hiện tượng lạ hoặc bỏ sót rồi đi sang toa kế tiếp sẽ bị thất bại và đưa về điểm xuất phát.
Hãy đến được toa mục tiêu mà không thất bại để vượt màn."
TUTO_FIND_4,Your current objective is displayed in the upper left. Fulfill the conditions and reach the destination to advance to the next chapter.,左上に今回の目標が表示されます。その条件を満たした状態で最終地点まで到達すれば、次の章へ進むことができます。,Mục tiêu hiện tại sẽ được hiển thị ở góc trên bên trái. Hãy đáp ứng các điều kiện đó và đi đến điểm cuối để có thể chuyển sang chương tiếp theo.
NO,No,いいえ,Không
CREDIT_ASSISTANCE,Assistance,協力,Hỗ trợ
TUTO_ROUTE_BUY_2,"Additionally, if you have enough Tickets, you can click on locked Routes to unlock them.
The cost varies based on how many Routes you have visited.","また、チケットが十分にあればロックされた路線をクリックしてアンロックできます。
費用は、訪問済みの路線の数によって変動します。","Ngoài ra, nếu có đủ Vé, bạn có thể nhấp vào các tuyến đường đang khóa để mở khóa chúng.\nChi phí sẽ thay đổi tùy thuộc vào số lượng tuyến đường bạn đã thám hiểm."
ROUTE_TITLE_EXITAD,Ad,出口広告,Biển quảng cáo lối ra
DESTINATION_HINT_ONSEN_TITLE,Flyer - Hot Spring Car,広告チラシ -温泉車両,Tờ rơi quảng cáo - Toa suối nước nóng
TUTO_ROUTE_BUY_1,"Sufficient Lust has been channeled into the Kankan Navi. From now on, information will be displayed even for unvisited anomaly cars.",シャリョーナビに十分量の情念が宿りました。これからは、未訪問の異変車両であっても情報が表示されます。,"Bản đồ dẫn đường đã tích lũy đủ điểm Dục vọng. Từ bây giờ, thông tin sẽ được hiển thị ngay cả đối với các toa có hiện tượng lạ chưa từng thám hiểm qua."
LIFE_UP_DESCRIPTION,Grants an extra chance when exploration fails.,探索に失敗した時、追加チャンスを得られます。,Tăng thêm một cơ hội phụ khi thám hiểm thất bại.
SHOP_SOLD_OUT,Sold Out,売り切れ,Hết hàng
QUEST_PROCESS_CURRENT,(Current: %d),(現在 %d),(Hiện tại: %d)
DESTINATION_D_LOCKER,Security Car,保安車両,Toa bảo an
DESTINATION_HINT_STUCKDOOR_TITLE,Door Repair Notice,ドア修理のお知らせ,Thông báo sửa cửa ra vào
TUTO_FIND_3_2,"The light at the bottom right of the screen represents your detection chances.
If you incorrectly detect an anomaly or move to the next car without detecting one, a charge will be lost. If all are lost, you will be returned to the starting point.
Reach the goal car without failing to clear the stage.","画面右下にある光は、あなたに与えられた探知チャンスです。
異変を誤って感知する、または感知せずに次の車両へ進むと破壊され、すべて失うとスタート地点に戻されます。
失敗せずに目標マスに到達すればクリアです。","Ánh sáng ở góc dưới bên phải màn hình đại diện cho cơ hội phát hiện của bạn.
Nếu bạn phát hiện sai hiện tượng lạ hoặc đi sang toa tiếp theo mà không phát hiện được, một cơ hội sẽ bị mất. Nếu mất hết tất cả, bạn sẽ bị đưa trở lại điểm xuất phát.
Hãy đến toa mục tiêu mà không thất bại để hoàn thành màn chơi."
TUTO_TITLE_ANOMALY_GHOST_H,Ghost Anomaly H,幽霊異変H,Ghost Anomaly H
ROUTE_INFO_ACCELERATION,Mistress Konial does enjoy testing the limits of speed from time to time.,コニアル様は時折、速度の限界をお試しになるのです。,Thỉnh thoảng cô Konial cũng thích thử thách giới hạn của tốc độ đấy.
ROUTE_TITLE_FELLATION,Blowjob,フェラチオ,Ngậm ngọc phun châu
LOVE_BONUS,Spare Panties,予備のパンティ,Quần lót dự phòng
ROUTE_INFO_DEFORME,Perhaps you missed it because it became too small?,小さくなりすぎて、見落としてしまわれたのですか？,Có phải vì nó thu nhỏ quá mức nên bạn đã bỏ sót không?
SAVE_OVERLAP,Overwrite,上書き,Ghi đè
ROUTE_INFO_DIVE,Please keep a close eye on the water's surface.,水面の上を、よくご覧になってください。,Xin hãy chú ý quan sát kỹ mặt nước.
SCENE_MATING_PRESS,Mating Press,種付けプレス,Ép khung phối giống
OPTION_CHAR_VOLUME,Voice Volume,ボイス音量,Âm lượng giọng nói
BOX_MAP_ITEM_3_INFO,"A slip of paper with lost item locations.
Marks train cars containing lost items from car 41 onward on your Kankan Navi.","落とし物の位置が記された紙。
41号車以降のうち、落とし物がある車両をシャリョーナビに表示します。",Một mảnh giấy ghi chép vị trí của các món đồ thất lạc. Đánh dấu các toa tàu có chứa đồ thất lạc từ toa 41 trở đi trên Bản đồ dẫn đường của bạn.
ROUTE_INFO_PARTNER_ANOMALY4,"I think that style suits her quite well, too.",そのようなスタイルも、よくお似合いだと思います。,Tôi nghĩ phong cách đó cũng rất hợp với cô ấy đấy chứ.
DESTINATION_HINT_CLOCK_INFO,"A clock that's completely stopped. There's a memo stuck to the back.
""BEYOND REPAIR - No matter how I adjust it, it's always [color=#ADFF2F]3 hours and 15 minutes fast[/color]! I smashed it out of frustration and now it won't run at all. Throw it away for all I care!""","完全に止まってしまった時計だ。裏にメモが貼ってある。
『修理不可――いくら調整しても、[color=#ADFF2F]3時間15分で止まってしまう[/color]！頭にきたので叩いたらウンともスンとも言わなくなった。捨てるなり何なり好きにしてくれ！』","Một chiếc đồng hồ đã ngừng chạy hoàn toàn. Có một mảnh giấy ghi chú dán ở mặt sau:\n""KHÔNG THỂ SỬA - Cho dù điều chỉnh thế nào đi nữa, nó vẫn [color=#ADFF2F]chạy nhanh 3 tiếng 15 phút[/color]! Do tức giận đập vào nên giờ nó hỏng hẳn luôn rồi. Vứt đi hay làm gì tùy ý!"""
LEAD_AGAIN_DESCRIPTION,Replay this event?,イベントをもう一度見ますか？,Xem lại sự kiện này chứ?
ROUTE_INFO_PARTNER_ANOMALY5,Perhaps she was so absorbed in her exploration that she forgot to get dressed...,探索に熱中するあまり、着るのを忘れてしまったのでしょうか……,Có lẽ vì quá mải mê thám hiểm nên cô ấy đã quên mặc quần áo chăng...
ROUTE_INFO_PARTNER_ANOMALY6,This one... I believe they want you to notice them.,これは……彼女たちの方から、見てほしがっているようでございますね。,Cái này... Tôi nghĩ họ muốn bạn chú ý đến họ đấy.
ROUTE_INFO_XXX,I wonder how many more will appear?,一体いくつまで増えるのでしょうか？,Liệu nó sẽ tăng lên đến bao nhiêu cái đây?
SCENE_FELLATIO,Blowjob,フェラ,Ngậm ngọc phun châu
NOW_DESTINATION_NOTHING,No Terminal,終着点なし,Không có ga cuối
ROUTE_INFO_PARTNER_ANOMALY1,Please observe your accompanying partner closely as well.,同行されているパートナーの方も、注意深く観察してくださいませ。,Xin hãy chú ý quan sát kỹ cả người bạn đồng hành của mình nữa.
ROUTE_INFO_PARTNER_ANOMALY2,Your accompanying partner is also... closely... Never mind.,同行されているパートナーの方も……注意深く……いえ、何でもございません。,"Người bạn đồng hành của bạn cũng... cần quan sát... Mà thôi, không có gì đâu."
<!MissingKey:230:You can spend one Commemorative Coin to unlock a locked Route.>,"You can spend one Commemorative Coin to unlock a locked Route.
Commemorative Coins can be obtained by trading with the Butler or through gameplay.","記念硬貨を1枚消費して、ロックされた路線をアンロックできます。
記念硬貨は執事と交換するか、ゲームをプレイすることで獲得できます。",Bạn có thể dùng một Đồng xu kỷ niệm để mở khóa tuyến đường đang khóa.\nĐồng xu kỷ niệm có thể nhận được bằng cách trao đổi với Quản gia hoặc thông qua quá trình chơi game.
TUTO_TITLE_BUTLER_H,Butler H,執事H,Cảnh H Quản gia
ROUTE_INFO_PARTNER_ANOMALY3,I-I'm relieved you didn't see it.,み、見られなかったのでしたら、何よりでございます。,R-rất may là bạn đã không nhìn thấy nó.
NOTI_ITEM_COLA2,This car doesn't seem to have any anomalies.,異変が存在しない車両のようだ。,Toa tàu này có vẻ không có hiện tượng lạ nào cả.
NOTI_ITEM_COLA1,The cola isn't responding...,コーラの反応がない……,Chai cola không có phản ứng gì...
NOTI_EXP_UP_REINA,You grew closer to Reina.,怜奈とさらに仲良くなったようだ。,Có vẻ bạn đã trở nên thân thiết hơn với Reina.
ROUTE_TITLE_XXX,XXX,XXX,XXX
ROUTE_INFO_REI_KOKYO,"It's from a work called Shining Labyrinth. 
Rei has white twintails, and Kokyo has the gold bob cut... 
Please try to remember their outfits carefully.","『シャイニング・ラビリンス』という作品でございます。
白いツインテールがレイ、金色のボブがコキョという名前だそうですが……
服装をよく覚えておいてくださいませ。","Đó là hình minh họa từ tác phẩm mang tên ""Mê cung tỏa sáng"" (Shining Labyrinth). Cô gái tóc hai bím màu trắng tên là Rei, còn cô gái tóc ngắn màu vàng tên là Kokyo... Xin hãy ghi nhớ kỹ trang phục của họ nhé."
ROUTE_TITLE_DROP,Falling,落下,Rơi xuống
NPC_ANO_H_DESCRIPTION,"After a successful detection, you will be able to purify any Anomalies that appear on your partner.",感知に成功すると、パートナーに生じた異変を浄化できるようになります。,"Sau khi phát hiện thành công, bạn sẽ có thể thanh tẩy bất kỳ hiện tượng lạ nào xuất hiện trên người bạn đồng hành."
CREDIT_ASSETS,Assets,アセット,Tài nguyên
ROUTE_INFO_ALNICO,I wonder what kind of place Alnico Studio up there might be?,上の方にあるアルニコスタジオとは、どのような場所なのでしょうか？,Không biết Alnico Studio ở phía trên kia là nơi như thế nào nhỉ?
DESTINATION_D_TICKET_CHECK,Ticket Check Car,検札車両,Toa kiểm vé
OPTION_LANGUAGE,Language,言語,Ngôn ngữ
PLAY_TIME,Play Time,プレイ時間,Thời gian chơi
SCENE_ONAHLE_HJ,Onahole Handjob,オナホコキ,Onahole Handjob
ROUTE_TITLE_CAUTIONSTICKER,Sticker,ステッカー,Nhãn dán
ROUTE_INFO_DICKWALKER,"It's rather grotesque, I'm afraid... but being cornered seems to be your chance.",少々グロテスクですが……隅に追い詰めた時がチャンスかと思われます。,Trông hơi ghê rợn một chút... nhưng khi nó bị dồn vào góc sẽ là cơ hội tốt của bạn đấy.
NOTI_LOVE_LEVEL_UP,Affection Level Up,好感度レベル上昇,Tăng cấp Thiện cảm
DESTINATION_D_HANDFAN,Broken AC Car,冷房故障車両,Toa hỏng điều hòa
CREDIT_CREATED,Created by,制作,Phát triển bởi
CHAPTER_CHANGING_GOAL_COUNT,Target Car:,目標車両：,Toa đích:
CREDIT_SPECIAL_THANKS,"To Evzki and 36 other supporters
who cheered us on and backed the game until completion","ゲームの完成を応援し、支援してくださった
Evzki様、ほか36名の支援者の皆様",Xin gửi lời cảm ơn đặc biệt đến bạn Evzki cùng 36 nhà tài trợ khác đã cổ vũ và ủng hộ để hoàn thành tựa game này.
DESTINATION_D_LOWSPEED,Slow Car,低速車両,Toa tốc độ chậm
GHOST_SKIP_DESCRIPTION,"A token of friendship.
While equipped, Ghosts will not interfere with you.","友情の証。
装着中は幽霊たちの妨害を受けません。","Biểu tượng của tình bạn.
Khi trang bị, ma quỷ sẽ không quấy rầy bạn."
TUTO_TITLE_FIND,Find the Anomaly,異変を探せ,Tìm hiện tượng lạ
SCENE_PAIZURI,Titjob,パイズリ,Nhũ giao đại pháp
ROUTE_INFO_GIANTKONIAL,"For some reason, Mistress Konial has become quite enormous...",なぜか、とても大きくなってしまわれたコニアル様が……,"Không hiểu sao, cô Konial lại trở nên to lớn khác thường..."
HINT_ITEM_WITH_MAI,"A hint that may lead you to a certain Terminal.
Mai seems like she might be interested.","どこかの終着点へと移動できるヒント。
舞が興味を持ちそうだ。","Một gợi ý có thể dẫn bạn đến ga cuối nào đó.
Có vẻ Mai sẽ hứng thú với thứ này đấy."
MAIN_LOAD,Load,ロード,Load Game
ERO_GAUGE,Lust,情念,Dục vọng
COLLECT_AREA_UP,Imitation Breasts,偽造おっぱい,Ngực giả
DESTINATION_HINT_PARTNER_ANOMALY_TITLE,Groper Warning,痴漢へのご注意,Cảnh báo quấy rối
NOTI_NEW_BOX_MAP_ADDED,Lost item location registered.,落とし物の位置情報が登録されました。,Vị trí đồ thất lạc đã được ghi nhận.
ROUTE_TITLE_TUNNEL,Tunnel,トンネル,Đường hầm
HELP,Help,ヘルプ,Trợ giúp
HINT_ITEM_WITH_EQUIPMENT,"A hint that may lead you to a certain Terminal.
It seems you might be able to recover a lost item.","どこかの終着点へと移動できるヒント。
落とし物を拾えそうだ。","Một gợi ý có thể dẫn bạn đến ga cuối nào đó.
Có vẻ bạn có thể tìm lại được một món đồ thất lạc."
TUTO_PRESS_KANKAN_ICON,Please click the Phone icon.,携帯アイコンをクリックしてください。,Hãy nhấp vào biểu tượng điện thoại.
RETURN_BASE_TITLE,T Key: Return to Start,Tキー：帰還,Phím T: Quay về điểm xuất phát
SCENE_SUMATA,Thighjob,素股,Kẹp đùi
ROUTE_TITLE_FLIGHT,Flying,飛行,Bay
LOVE_BRACELET_DESCRIPTION,"Successful detection while equipped increases Konial's Affection.
Kankan Navi cannot be used while equipped, and all Route Map settings will be reset.","装着した状態で探知に成功すると、コニアルの好感度が上昇します。
装着中はシャリョーナビが使用不可になり、設定済みの路線図がすべて解除されます。","Phát hiện thành công khi đeo vòng sẽ tăng Thiện cảm của Konial.
Khi đang đeo, Bản đồ dẫn đường sẽ không thể sử dụng và các thiết lập tuyến đường hiện tại sẽ bị xóa bỏ."
MULTIPLE_CHOICE,Used Lipstick,使いかけのリップスティック,Son môi đã qua sử dụng
ROUTE_APP_NEED_COIN,Required Coins:,必要コイン数：,Xu cần:
ROUTE_TITLE_BUTTOCKS,Butt,お尻,Mông
ROUTE_TITLE_SLINGSHOT,Slingshot Bikini,スリングショット,Bikini dây
SCENE_SITTING_REVERSE,Reverse Cowgirl,背面座位,Thượng đế bế quan âm (Ngược)
DESTINATION_HINT_MILK_TITLE,Empty Milk Bottle,空の牛乳瓶,Bình sữa rỗng
SCENE_WALL_LEAN,Against the Wall,壁際,Tư thế dựa tường
SCENE_DOGGYSTYLE,Doggy Style,バック,La hán đẩy xe bò
ROUTE_HINT_PINNED,Pin Hint,ヒント固定,Ghim gợi ý
ROUTE_TITLE_YUKIONNA,Snow Woman,雪女,Tuyết nữ
ROUTE_APP_ROUTE_CLEAR,Clear,リセット,Xóa
ERO_GAUGE_COMSUME_UP_DESCRIPTION,Increases the rate of Lust consumption during sex scenes with your partner.,パートナーとHする際、情念の消耗速度が上がります。,Tăng tốc độ tiêu hao điểm Dục vọng khi thực hiện H với bạn đồng hành.
ROUTE_INFO_TOPLESS,Please check the clothing on billboard above.,上にある広告看板の服をご確認くださいませ。,Hãy kiểm tra quần áo trên biển quảng cáo phía trên nhé.
NOTI_FIRST_FIND_ROUTE,New Anomaly detected!,異変の初回探知に成功,Đã phát hiện hiện tượng lạ mới!
ROUTE_TITLE_PANCHIRA,Panty Shot,パンチラ,Lộ hàng
DESTINATION_D_PARTNER_ANOMALY,Groper Car,痴漢車両,Toa quấy rối
CHAPTER_TITLE_4,Chapter 4,第4章,Chương 4
CHAPTER_TITLE_5,Chapter 5,第5章,Chương 5
RAPE_RESIST_GUIDE,Hold Back,射精を我慢,Nhịn xuất
CHAPTER_TITLE_6,Chapter 6,第6章,Chương 6
TUTO_TITLE_BASE_H_ACTION,Basic H Action,基本Hアクション,Thao tác H cơ bản
ROUTE_INFO_DESTROYED,Who could've done this?!,一体どなたがこのようなことをなさったのでしょうか…？,Ai lại phá hoại ra nông nỗi này chứ...?!
CHAPTER_TITLE_0,Prologue,プロローグ,Mở đầu
ROUTE_APP_NOT_FIND_DESCRIPTION,This Anomaly hasn't been discovered yet.,まだ探知できていない異変です。,Hiện tượng lạ này vẫn chưa được phát hiện.
CHAPTER_TITLE_1,Chapter 1,第1章,Chương 1
CHAPTER_TITLE_2,Chapter 2,第2章,Chương 2
CHAPTER_TITLE_3,Chapter 3,第3章,Chương 3
DESTINATION_HINT_PARTNER_ANOMALY_INFO,"Attention passengers of Train 45.
Recently, there have been incidents of intentionally causing discomfort to other passengers.
Please be advised that the following indecent behaviors are subject to sanctions and may result in removal from the train:
[color=#ADFF2F]- Excessive exposure resulting in visible undergarments[/color]
[color=#ADFF2F]- Removing clothing to explicitly reveal private areas[/color]
[color=#ADFF2F]- Assuming inappropriate postures other than normal standing[/color]
To date, all identified perpetrators have been female, with male passengers as the primary victims.
However, thanks to the remarkable patience and tolerance of the victimized male passengers, not a single report has been filed to date, making early intervention difficult.
While not reporting despite being victimized has seemingly become an unspoken rule, this constitutes a clear violation of regulations. We kindly request your active cooperation in reporting such incidents going forward.'","『当45番電車をご利用の乗客の皆様にお知らせいたします。
最近、一部のお客様による、他のお客様へ意図的に不快感を与える行為が確認されています。
特に、以下のような公序良俗に反する行為は規則に則って乗車を制限させて頂く場合がございますので、ご注意ください。
[color=#ADFF2F]- 過度な露出。下着等が見えている行為。[/color]
[color=#ADFF2F]- 衣服を脱ぎ。局部を露骨に露出する行為。[/color]
[color=#ADFF2F]- 通常の直立状態ではない、不適切な姿勢を意図的にとる行為。[/color]
主な加害者は女性で、被害者は男性であるケースが多く確認されています。
しかし、被害男性のお客様の皆様の驚くべき忍耐と寛容のおかげか、現在まで一件の通報も寄せられておらず、摘発が難航しております。
被害に遭われているにもかかわらず通報しないことが暗黙の了解となっているようですが、これは明白な迷惑行為となりますので、積極的な通報のご協力をお願いいたします。』","Kính gửi toàn thể quý hành khách đang sử dụng tuyến tàu số 45.\nGần đây, chúng tôi phát hiện một số hành vi cố ý gây phiền toái cho người khác.\nĐặc biệt, xin lưu ý các hành vi khiếm nhã sau đây sẽ bị phạt và có thể bị cưỡng chế rời khỏi tàu:\n[color=#ADFF2F]- Hành vi ăn mặc quá hở hang để lộ đồ lót[/color]\n[color=#ADFF2F]- Hành vi cởi bỏ y phục để lộ trực tiếp bộ phận nhạy cảm[/color]\n[color=#ADFF2F]- Hành vi tạo tư thế không đứng đắn, khác với tư thế đứng thẳng thông thường[/color]\nCho đến nay, tất cả các đối tượng vi phạm được xác định là nữ giới, và nạn nhân chủ yếu là các hành khách nam.\nTuy nhiên, có lẽ nhờ vào sự kiên nhẫn và bao dung đáng kinh ngạc của các hành khách nam là nạn nhân, cho đến nay vẫn chưa có một báo cáo nào được ghi nhận, gây khó khăn cho việc xử lý sớm.\nMặc dù bị quấy rối nhưng việc không báo cáo dường như đã trở thành một quy luật ngầm, song đây rõ ràng là hành vi vi phạm quy định. Chúng tôi khẩn thiết yêu cầu sự hợp tác tích cực của quý hành khách trong việc báo cáo các sự việc tương tự từ nay về sau."
